src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
59.183.227.66,10.0.0.3,0,1066,1,1,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
172.94.212.116,10.0.0.3,0,0,0,1,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
135.241.104.220,10.0.0.3,0,0,0,1,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
24.156.209.146,10.0.0.3,0,1066,1,1,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
198.121.166.235,10.0.0.3,0,2132,2,1,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
29.154.238.155,10.0.0.3,0,0,0,1,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
207.39.248.199,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
222.190.195.242,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
61.102.204.7,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
212.162.246.77,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
55.96.105.215,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
149.247.116.128,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
142.152.27.115,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
99.228.198.92,10.0.0.3,0,1066,1,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
110.28.237.58,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
45.240.115.174,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
154.115.12.11,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
229.153.128.44,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
212.19.57.189,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
137.54.215.40,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
95.179.209.64,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
149.206.232.141,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
112.217.191.200,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
5.12.163.65,10.0.0.3,0,1066,1,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
174.235.220.245,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
54.225.50.118,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
114.172.11.220,10.0.0.3,0,2132,2,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
210.212.171.66,10.0.0.3,0,1066,1,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
123.186.89.212,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
129.190.200.131,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
9.229.92.53,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,423018,469,232,300,475,475,402,67,415748,7270,0,0,0,0,0,0,0,0,43
