src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
237.46.128.255,10.0.0.4,0,54,1,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
182.141.57.219,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
43.205.133.115,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
117.116.13.46,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
255.43.63.231,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
219.209.187.15,10.0.0.4,0,54,1,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
245.158.45.37,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
216.253.6.9,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
90.196.13.100,10.0.0.4,0,54,1,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
198.21.20.21,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
193.209.181.54,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
37.142.252.102,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
194.146.68.228,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
232.15.82.2,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
136.250.218.89,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
41.18.60.84,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
143.242.93.58,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
51.201.250.92,10.0.0.4,0,54,1,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
179.218.10.42,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
76.84.200.125,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
135.128.61.63,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
70.60.143.222,10.0.0.4,0,54,1,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
236.38.156.182,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
214.141.28.181,10.0.0.4,0,54,1,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
85.205.204.142,10.0.0.4,0,54,1,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
226.136.130.116,10.0.0.4,0,54,1,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
51.86.169.161,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
78.187.13.68,10.0.0.4,0,0,0,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
26.41.4.96,10.0.0.4,0,108,2,0,1,00:00:00:00:00:04,48312,823,294,0,0,0,758,65,41236,7076,0,0,0,0,0,0,0,0,30
