src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
247.67.54.19,10.0.0.4,0,210,5,4,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
110.7.175.215,10.0.0.4,0,0,0,4,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
29.45.230.82,10.0.0.4,0,0,0,4,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
89.121.198.120,10.0.0.4,0,0,0,4,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
208.27.63.7,10.0.0.4,0,0,0,4,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
27.243.59.43,10.0.0.4,0,0,0,4,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
136.76.255.127,10.0.0.4,0,0,0,4,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
72.140.193.26,10.0.0.4,0,0,0,3,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
190.144.228.5,10.0.0.4,0,0,0,3,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
89.13.74.236,10.0.0.4,0,0,0,3,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
59.14.127.229,10.0.0.4,0,42,1,3,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
2.124.197.194,10.0.0.4,0,0,0,3,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
37.30.91.33,10.0.0.4,0,0,0,3,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
149.92.146.199,10.0.0.4,0,42,1,3,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
98.233.229.204,10.0.0.4,0,0,0,3,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
69.238.210.184,10.0.0.4,0,42,1,3,3,00:00:00:00:00:04,63792,1409,1014,1293,1523,1523,1373,36,59939,3853,0,0,0,0,0,0,0,0,19
