src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
192.168.21.3,192.168.56.101,0,2104,22,11,1,08:00:27:4c:52:09,281279766,494510,3,2,405255,405255,274168,220342,244346435,36933331,0,0,0,0,0,0,0,0,22187
192.168.56.101,192.168.21.3,0,3734,33,11,LOCAL,08:00:27:3b:03:29,272594818,405036,3,2,405255,405255,184870,220166,235846285,36748533,0,0,0,0,0,0,0,0,22187
192.168.21.3,192.168.56.101,0,2104,22,11,LOCAL,08:00:27:21:b1:d0,272389284,407690,3,2,407898,407898,226962,180728,34705949,237683335,0,0,0,0,0,0,0,0,22187
192.168.56.101,192.168.21.3,0,3628,32,11,1,08:00:27:3f:97:25,410474952,497110,3,2,407898,407898,227172,269938,37911595,372563357,0,0,0,0,0,0,0,0,22187
192.168.21.3,192.168.56.101,0,2104,22,12,1,08:00:27:4c:52:09,281279766,494510,3,2,405255,405255,274168,220342,244346435,36933331,0,0,0,0,0,0,0,0,22188
192.168.56.101,192.168.21.3,0,3734,33,12,LOCAL,08:00:27:3b:03:29,272594818,405036,3,2,405255,405255,184870,220166,235846285,36748533,0,0,0,0,0,0,0,0,22188
192.168.21.3,192.168.56.101,0,2104,22,12,LOCAL,08:00:27:21:b1:d0,272389284,407690,3,2,407898,407898,226962,180728,34705949,237683335,0,0,0,0,0,0,0,0,22188
192.168.56.101,192.168.21.3,0,3628,32,12,1,08:00:27:3f:97:25,410474952,497110,3,2,407898,407898,227172,269938,37911595,372563357,0,0,0,0,0,0,0,0,22188
192.168.21.3,192.168.56.101,0,2668,28,13,1,08:00:27:4c:52:09,281281325,494525,3,2,405270,405270,274174,220351,244346999,36934326,0,0,0,0,0,0,0,0,22189
192.168.56.101,192.168.21.3,0,4717,42,13,LOCAL,08:00:27:3b:03:29,272596281,405051,3,2,405270,405270,184876,220175,235846765,36749516,0,0,0,0,0,0,0,0,22189
192.168.21.3,192.168.56.101,0,2668,28,13,LOCAL,08:00:27:21:b1:d0,272390717,407705,3,2,407913,407913,226971,180734,34706818,237683899,0,0,0,0,0,0,0,0,22189
192.168.56.101,192.168.21.3,0,4623,41,13,1,08:00:27:3f:97:25,410476511,497125,3,2,407913,407913,227181,269944,37912590,372563921,0,0,0,0,0,0,0,0,22189
192.168.21.3,192.168.56.101,0,2668,28,14,1,08:00:27:4c:52:09,281281325,494525,3,2,405270,405270,274174,220351,244346999,36934326,0,0,0,0,0,0,0,0,22190
192.168.56.101,192.168.21.3,0,4717,42,14,LOCAL,08:00:27:3b:03:29,272596281,405051,3,2,405270,405270,184876,220175,235846765,36749516,0,0,0,0,0,0,0,0,22190
192.168.21.3,192.168.56.101,0,2668,28,14,LOCAL,08:00:27:21:b1:d0,272390717,407705,3,2,407913,407913,226971,180734,34706818,237683899,0,0,0,0,0,0,0,0,22190
192.168.56.101,192.168.21.3,0,4623,41,14,1,08:00:27:3f:97:25,410476511,497125,3,2,407913,407913,227181,269944,37912590,372563921,0,0,0,0,0,0,0,0,22190
192.168.21.3,192.168.56.101,0,2668,28,15,1,08:00:27:4c:52:09,281281325,494525,3,2,405270,405270,274174,220351,244346999,36934326,0,0,0,0,0,0,0,0,22191
192.168.56.101,192.168.21.3,0,4717,42,15,LOCAL,08:00:27:3b:03:29,272596281,405051,3,2,405270,405270,184876,220175,235846765,36749516,0,0,0,0,0,0,0,0,22191
192.168.21.3,192.168.56.101,0,2668,28,15,LOCAL,08:00:27:21:b1:d0,272390717,407705,3,2,407913,407913,226971,180734,34706818,237683899,0,0,0,0,0,0,0,0,22191
192.168.56.101,192.168.21.3,0,4623,41,15,1,08:00:27:3f:97:25,410476511,497125,3,2,407913,407913,227181,269944,37912590,372563921,0,0,0,0,0,0,0,0,22191
192.168.21.3,192.168.56.101,0,3232,34,16,1,08:00:27:4c:52:09,281282952,494541,3,2,405286,405286,274180,220361,244347563,36935389,0,0,0,0,0,0,0,0,22192
192.168.56.101,192.168.21.3,0,5762,52,16,LOCAL,08:00:27:3b:03:29,272597806,405067,3,2,405286,405286,184882,220185,235847245,36750561,0,0,0,0,0,0,0,0,22192
192.168.21.3,192.168.56.101,0,3232,34,16,LOCAL,08:00:27:21:b1:d0,272392204,407721,3,2,407929,407929,226981,180740,34707741,237684463,0,0,0,0,0,0,0,0,22192
192.168.56.101,192.168.21.3,0,5686,51,16,1,08:00:27:3f:97:25,410478138,497141,3,2,407929,407929,227191,269950,37913653,372564485,0,0,0,0,0,0,0,0,22192
