src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
192.168.21.3,192.168.56.101,0,120,2,0,1,08:00:27:4c:52:09,284209841,524351,2,1,435082,435082,287893,236458,245661485,38548356,0,0,0,0,0,0,0,0,29108
192.168.21.3,192.168.56.101,0,108,2,0,LOCAL,08:00:27:21:b1:d0,275720750,451715,4,3,451989,451989,259327,192388,37016536,238704214,0,0,0,0,0,0,0,0,29108
192.168.56.101,8.8.8.8,0,0,0,0,1,08:00:27:3f:97:25,414296926,541215,4,3,451989,451989,259603,281612,40684000,373612926,0,0,0,0,0,0,0,0,29108
192.168.56.200,192.168.56.101,0,0,0,0,LOCAL,08:00:27:21:b1:d0,275720750,451715,4,3,451989,451989,259327,192388,37016536,238704214,0,0,0,0,0,0,0,0,29108
192.168.21.3,192.168.56.101,0,120,2,2,1,08:00:27:4c:52:09,284210058,524352,2,1,435083,435083,287894,236458,245661702,38548356,0,0,0,0,0,0,0,0,29109
192.168.21.3,192.168.56.101,0,108,2,2,LOCAL,08:00:27:21:b1:d0,275720953,451716,4,3,451990,451990,259328,192388,37016739,238704214,0,0,0,0,0,0,0,0,29109
192.168.56.101,8.8.8.8,0,0,0,2,1,08:00:27:3f:97:25,414297143,541216,4,3,451990,451990,259604,281612,40684217,373612926,0,0,0,0,0,0,0,0,29109
192.168.56.200,192.168.56.101,0,0,0,2,LOCAL,08:00:27:21:b1:d0,275720953,451716,4,3,451990,451990,259328,192388,37016739,238704214,0,0,0,0,0,0,0,0,29109
192.168.21.3,192.168.56.101,0,120,2,3,1,08:00:27:4c:52:09,284210058,524352,2,1,435083,435083,287894,236458,245661702,38548356,0,0,0,0,0,0,0,0,29110
192.168.21.3,192.168.56.101,0,108,2,3,LOCAL,08:00:27:21:b1:d0,275721137,451718,4,3,451992,451992,259329,192389,37016810,238704327,0,0,0,0,0,0,0,0,29111
192.168.56.101,8.8.8.8,0,85,1,3,1,08:00:27:3f:97:25,414297341,541218,4,3,451992,451992,259605,281613,40684302,373613039,0,0,0,0,0,0,0,0,29111
192.168.56.200,192.168.56.101,0,113,1,3,LOCAL,08:00:27:21:b1:d0,275721137,451718,4,3,451992,451992,259329,192389,37016810,238704327,0,0,0,0,0,0,0,0,29111
192.168.21.3,192.168.56.101,0,120,2,4,1,08:00:27:4c:52:09,284210058,524352,2,1,435083,435083,287894,236458,245661702,38548356,0,0,0,0,0,0,0,0,29112
192.168.21.3,192.168.56.101,0,108,2,4,LOCAL,08:00:27:21:b1:d0,275721137,451718,4,3,451992,451992,259329,192389,37016810,238704327,0,0,0,0,0,0,0,0,29112
192.168.56.101,8.8.8.8,0,85,1,4,1,08:00:27:3f:97:25,414297341,541218,4,3,451992,451992,259605,281613,40684302,373613039,0,0,0,0,0,0,0,0,29112
192.168.56.200,192.168.56.101,0,113,1,4,LOCAL,08:00:27:21:b1:d0,275721137,451718,4,3,451992,451992,259329,192389,37016810,238704327,0,0,0,0,0,0,0,0,29112
192.168.21.3,192.168.56.101,0,120,2,5,1,08:00:27:4c:52:09,284210298,524356,2,1,435087,435087,287896,236460,245661822,38548476,0,0,0,0,0,0,0,0,29113
192.168.21.3,192.168.56.101,0,108,2,5,LOCAL,08:00:27:21:b1:d0,275721313,451722,4,3,451996,451996,259331,192391,37016902,238704411,0,0,0,0,0,0,0,0,29113
192.168.56.101,8.8.8.8,0,85,1,5,1,08:00:27:3f:97:25,414297581,541222,4,3,451996,451996,259607,281615,40684422,373613159,0,0,0,0,0,0,0,0,29113
192.168.56.200,192.168.56.101,0,113,1,5,LOCAL,08:00:27:21:b1:d0,275721313,451722,4,3,451996,451996,259331,192391,37016902,238704411,0,0,0,0,0,0,0,0,29113
192.168.21.3,192.168.56.101,0,120,2,6,1,08:00:27:4c:52:09,284210298,524356,2,1,435087,435087,287896,236460,245661822,38548476,0,0,0,0,0,0,0,0,29114
192.168.21.3,192.168.56.101,0,108,2,7,LOCAL,08:00:27:21:b1:d0,275721497,451724,5,4,451998,451998,259332,192392,37016973,238704524,0,0,0,0,0,0,0,0,29114
192.168.56.101,8.8.8.8,0,85,1,7,1,08:00:27:3f:97:25,414297779,541224,5,4,451998,451998,259608,281616,40684507,373613272,0,0,0,0,0,0,0,0,29114
192.168.56.200,192.168.56.101,0,226,2,7,LOCAL,08:00:27:21:b1:d0,275721497,451724,5,4,451998,451998,259332,192392,37016973,238704524,0,0,0,0,0,0,0,0,29114
192.168.56.101,4.2.2.2,0,0,0,0,1,08:00:27:3f:97:25,414297779,541224,5,4,451998,451998,259608,281616,40684507,373613272,0,0,0,0,0,0,0,0,29114
192.168.21.3,192.168.56.101,0,120,2,8,1,08:00:27:4c:52:09,284210298,524356,2,1,435087,435087,287896,236460,245661822,38548476,0,0,0,0,0,0,0,0,29115
192.168.21.3,192.168.56.101,0,108,2,8,LOCAL,08:00:27:21:b1:d0,275721497,451724,5,4,451998,451998,259332,192392,37016973,238704524,0,0,0,0,0,0,0,0,29116
192.168.56.101,8.8.8.8,0,85,1,8,1,08:00:27:3f:97:25,414297779,541224,5,4,451998,451998,259608,281616,40684507,373613272,0,0,0,0,0,0,0,0,29116
192.168.56.200,192.168.56.101,0,226,2,8,LOCAL,08:00:27:21:b1:d0,275721497,451724,5,4,451998,451998,259332,192392,37016973,238704524,0,0,0,0,0,0,0,0,29116
192.168.56.101,4.2.2.2,0,0,0,1,1,08:00:27:3f:97:25,414297779,541224,5,4,451998,451998,259608,281616,40684507,373613272,0,0,0,0,0,0,0,0,29116
192.168.21.3,192.168.56.101,0,120,2,9,1,08:00:27:4c:52:09,284210298,524356,2,1,435087,435087,287896,236460,245661822,38548476,0,0,0,0,0,0,0,0,29117
192.168.21.3,192.168.56.101,0,108,2,9,LOCAL,08:00:27:21:b1:d0,275721681,451726,5,4,452000,452000,259333,192393,37017044,238704637,0,0,0,0,0,0,0,0,29117
192.168.56.101,8.8.8.8,0,85,1,9,1,08:00:27:3f:97:25,414297977,541226,5,4,452000,452000,259609,281617,40684592,373613385,0,0,0,0,0,0,0,0,29117
192.168.56.200,192.168.56.101,0,339,3,9,LOCAL,08:00:27:21:b1:d0,275721681,451726,5,4,452000,452000,259333,192393,37017044,238704637,0,0,0,0,0,0,0,0,29117
192.168.56.101,4.2.2.2,0,85,1,2,1,08:00:27:3f:97:25,414297977,541226,5,4,452000,452000,259609,281617,40684592,373613385,0,0,0,0,0,0,0,0,29117
