src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
192.168.21.3,192.168.56.101,0,845933,529,19,1,08:00:27:4c:52:09,18613612,30692,3,2,24468,24468,17033,13659,16228486,2385126,0,0,0,0,0,0,0,0,2188
192.168.56.101,192.168.21.3,0,124667,687,19,LOCAL,08:00:27:3b:03:29,18026676,24469,3,2,24468,24468,10972,13497,15672490,2354186,0,0,0,0,0,0,0,0,2188
192.168.56.200,192.168.56.101,0,2788,24,61,LOCAL,08:00:27:21:b1:d0,18149885,26251,6,5,26250,26250,15250,11001,2343245,15806640,0,0,0,0,0,0,0,0,2188
192.168.56.101,8.8.8.8,0,2392,28,61,1,08:00:27:3f:97:25,27523067,32434,6,5,26250,26250,15271,17163,2560649,24962418,0,0,0,0,0,0,0,0,2188
192.168.56.101,4.2.2.2,0,2633,31,56,1,08:00:27:3f:97:25,27523067,32434,6,5,26250,26250,15271,17163,2560649,24962418,0,0,0,0,0,0,0,0,2188
192.168.56.101,192.168.21.3,0,125695,689,19,1,08:00:27:3f:97:25,27523067,32434,6,5,26250,26250,15271,17163,2560649,24962418,0,0,0,0,0,0,0,0,2188
192.168.21.3,192.168.56.101,0,845933,529,19,LOCAL,08:00:27:21:b1:d0,18149885,26251,6,5,26250,26250,15250,11001,2343245,15806640,0,0,0,0,0,0,0,0,2188
192.168.21.3,192.168.56.101,0,887017,556,20,1,08:00:27:4c:52:09,18674122,30792,3,2,24532,24532,17088,13704,16281244,2392878,0,0,0,0,0,0,0,0,2189
192.168.56.101,192.168.21.3,0,130865,724,20,LOCAL,08:00:27:3b:03:29,18085334,24549,3,2,24532,24532,11007,13542,15723438,2361896,0,0,0,0,0,0,0,0,2189
192.168.56.200,192.168.56.101,0,2990,26,62,LOCAL,08:00:27:21:b1:d0,18208191,26334,6,5,26320,26320,15296,11038,2349911,15858280,0,0,0,0,0,0,0,0,2190
192.168.56.101,8.8.8.8,0,2538,30,62,1,08:00:27:3f:97:25,27612297,32537,6,5,26320,26320,15317,17220,2567959,25044338,0,0,0,0,0,0,0,0,2190
192.168.56.101,4.2.2.2,0,2779,33,57,1,08:00:27:3f:97:25,27612297,32537,6,5,26320,26320,15317,17220,2567959,25044338,0,0,0,0,0,0,0,0,2190
192.168.56.101,192.168.21.3,0,131947,726,20,1,08:00:27:3f:97:25,27612297,32537,6,5,26320,26320,15317,17220,2567959,25044338,0,0,0,0,0,0,0,0,2190
192.168.21.3,192.168.56.101,0,887017,556,20,LOCAL,08:00:27:21:b1:d0,18208191,26334,6,5,26320,26320,15296,11038,2349911,15858280,0,0,0,0,0,0,0,0,2190
192.168.21.3,192.168.56.101,0,928442,588,21,1,08:00:27:4c:52:09,18734951,30897,3,2,24605,24605,17145,13752,16334139,2400812,0,0,0,0,0,0,0,0,2191
192.168.56.101,192.168.21.3,0,137911,765,21,LOCAL,08:00:27:3b:03:29,18144207,24633,3,2,24605,24605,11043,13590,15774443,2369764,0,0,0,0,0,0,0,0,2191
192.168.56.200,192.168.56.101,0,2990,26,64,LOCAL,08:00:27:21:b1:d0,18266962,26418,6,5,26437,26437,15344,11074,2357173,15909789,0,0,0,0,0,0,0,0,2191
192.168.56.101,8.8.8.8,0,2538,30,64,1,08:00:27:3f:97:25,27703534,32642,6,5,26437,26437,15365,17277,2575893,25127641,0,0,0,0,0,0,0,0,2191
192.168.56.101,4.2.2.2,0,2779,33,59,1,08:00:27:3f:97:25,27703534,32642,6,5,26437,26437,15365,17277,2575893,25127641,0,0,0,0,0,0,0,0,2191
192.168.56.101,192.168.21.3,0,142930,791,21,1,08:00:27:3f:97:25,27703534,32642,6,5,26437,26437,15365,17277,2575893,25127641,0,0,0,0,0,0,0,0,2191
192.168.21.3,192.168.56.101,0,959243,608,21,LOCAL,08:00:27:21:b1:d0,18266962,26418,6,5,26437,26437,15344,11074,2357173,15909789,0,0,0,0,0,0,0,0,2191
192.168.21.3,192.168.56.101,0,989965,627,22,1,08:00:27:4c:52:09,18770857,30951,3,2,24691,24691,17176,13775,16365653,2405204,0,0,0,0,0,0,0,0,2192
192.168.56.101,192.168.21.3,0,146162,812,22,LOCAL,08:00:27:3b:03:29,18179043,24675,3,2,24691,24691,11062,13613,15804899,2374144,0,0,0,0,0,0,0,0,2192
192.168.56.200,192.168.56.101,0,2990,26,65,LOCAL,08:00:27:21:b1:d0,18301754,26460,6,5,26479,26479,15367,11093,2361243,15940511,0,0,0,0,0,0,0,0,2192
192.168.56.101,8.8.8.8,0,2538,30,65,1,08:00:27:3f:97:25,27756816,32696,6,5,26479,26479,15388,17308,2580285,25176531,0,0,0,0,0,0,0,0,2192
192.168.56.101,4.2.2.2,0,2779,33,60,1,08:00:27:3f:97:25,27756816,32696,6,5,26479,26479,15388,17308,2580285,25176531,0,0,0,0,0,0,0,0,2192
192.168.56.101,192.168.21.3,0,147322,814,22,1,08:00:27:3f:97:25,27756816,32696,6,5,26479,26479,15388,17308,2580285,25176531,0,0,0,0,0,0,0,0,2192
192.168.21.3,192.168.56.101,0,989965,627,22,LOCAL,08:00:27:21:b1:d0,18301754,26460,6,5,26479,26479,15367,11093,2361243,15940511,0,0,0,0,0,0,0,0,2192
