src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
192.168.56.101,192.168.21.3,0,66,1,0,LOCAL,08:00:27:3b:03:29,259671758,337819,3,2,337891,337891,151241,186578,226112627,33559131,0,0,0,0,0,0,0,0,7440
192.168.21.3,192.168.56.101,0,0,0,0,1,08:00:27:4c:52:09,267689524,424618,3,2,337891,337891,237876,186742,233954245,33735279,0,0,0,0,0,0,0,0,7440
192.168.56.101,192.168.21.3,0,198,3,0,1,08:00:27:3f:97:25,393229805,426939,6,5,340255,340255,189898,237041,34155527,359074278,0,0,0,0,0,0,0,0,7440
192.168.21.3,192.168.56.101,0,0,0,0,LOCAL,08:00:27:21:b1:d0,259503985,340180,6,5,340255,340255,189821,150359,31487595,228016390,0,0,0,0,0,0,0,0,7440
192.168.56.101,4.2.2.2,0,170,2,0,1,08:00:27:3f:97:25,393229805,426939,6,5,340255,340255,189898,237041,34155527,359074278,0,0,0,0,0,0,0,0,7440
192.168.56.200,192.168.56.101,0,0,0,0,LOCAL,08:00:27:21:b1:d0,259503985,340180,6,5,340255,340255,189821,150359,31487595,228016390,0,0,0,0,0,0,0,0,7440
192.168.56.101,8.8.8.8,0,0,0,0,1,08:00:27:3f:97:25,393229805,426939,6,5,340255,340255,189898,237041,34155527,359074278,0,0,0,0,0,0,0,0,7440
192.168.56.101,192.168.21.3,0,1441,6,1,LOCAL,08:00:27:3b:03:29,259678142,337830,3,2,337902,337902,151247,186583,226117636,33560506,0,0,0,0,0,0,0,0,7441
192.168.21.3,192.168.56.101,0,5093,6,1,1,08:00:27:4c:52:09,267696058,424630,3,2,337902,337902,237883,186747,233959404,33736654,0,0,0,0,0,0,0,0,7441
192.168.56.101,192.168.21.3,0,1573,8,1,1,08:00:27:3f:97:25,393237961,426953,6,5,340268,340268,189905,237048,34157076,359080885,0,0,0,0,0,0,0,0,7441
192.168.21.3,192.168.56.101,0,5093,6,1,LOCAL,08:00:27:21:b1:d0,259510529,340193,6,5,340268,340268,189828,150365,31489046,228021483,0,0,0,0,0,0,0,0,7441
192.168.56.101,4.2.2.2,0,344,4,1,1,08:00:27:3f:97:25,393237961,426953,6,5,340268,340268,189905,237048,34157076,359080885,0,0,0,0,0,0,0,0,7441
192.168.56.200,192.168.56.101,0,0,0,1,LOCAL,08:00:27:21:b1:d0,259510529,340193,6,5,340268,340268,189828,150365,31489046,228021483,0,0,0,0,0,0,0,0,7441
192.168.56.101,8.8.8.8,0,0,0,1,1,08:00:27:3f:97:25,393237961,426953,6,5,340268,340268,189905,237048,34157076,359080885,0,0,0,0,0,0,0,0,7441
192.168.56.101,192.168.21.3,0,1441,6,2,LOCAL,08:00:27:3b:03:29,259678142,337830,3,2,337902,337902,151247,186583,226117636,33560506,0,0,0,0,0,0,0,0,7442
192.168.21.3,192.168.56.101,0,5093,6,2,1,08:00:27:4c:52:09,267696058,424630,3,2,337902,337902,237883,186747,233959404,33736654,0,0,0,0,0,0,0,0,7442
192.168.56.101,192.168.21.3,0,1573,8,2,1,08:00:27:3f:97:25,393238081,426955,6,5,340270,340270,189906,237049,34157136,359080945,0,0,0,0,0,0,0,0,7442
192.168.21.3,192.168.56.101,0,5093,6,2,LOCAL,08:00:27:21:b1:d0,259510617,340195,6,5,340270,340270,189829,150366,31489092,228021525,0,0,0,0,0,0,0,0,7442
192.168.56.101,4.2.2.2,0,344,4,2,1,08:00:27:3f:97:25,393238081,426955,6,5,340270,340270,189906,237049,34157136,359080945,0,0,0,0,0,0,0,0,7442
192.168.56.200,192.168.56.101,0,0,0,2,LOCAL,08:00:27:21:b1:d0,259510617,340195,6,5,340270,340270,189829,150366,31489092,228021525,0,0,0,0,0,0,0,0,7442
192.168.56.101,8.8.8.8,0,0,0,2,1,08:00:27:3f:97:25,393238081,426955,6,5,340270,340270,189906,237049,34157136,359080945,0,0,0,0,0,0,0,0,7442
192.168.56.101,192.168.21.3,0,1573,8,3,LOCAL,08:00:27:3b:03:29,259688957,337840,3,2,337906,337906,151252,186588,226127693,33561264,0,0,0,0,0,0,0,0,7443
192.168.21.3,192.168.56.101,0,10325,8,3,1,08:00:27:4c:52:09,267707207,424644,3,2,337906,337906,237892,186752,233969795,33737412,0,0,0,0,0,0,0,0,7443
192.168.56.101,192.168.21.3,0,1705,10,3,1,08:00:27:3f:97:25,393255430,426974,6,5,340277,340277,189915,237059,34158198,359097232,0,0,0,0,0,0,0,0,7443
192.168.21.3,192.168.56.101,0,10325,8,3,LOCAL,08:00:27:21:b1:d0,259521784,340210,6,5,340277,340277,189838,150372,31490028,228031756,0,0,0,0,0,0,0,0,7443
192.168.56.101,4.2.2.2,0,344,4,3,1,08:00:27:3f:97:25,393255430,426974,6,5,340277,340277,189915,237059,34158198,359097232,0,0,0,0,0,0,0,0,7443
192.168.56.200,192.168.56.101,0,104,1,3,LOCAL,08:00:27:21:b1:d0,259521784,340210,6,5,340277,340277,189838,150372,31490028,228031756,0,0,0,0,0,0,0,0,7443
192.168.56.101,8.8.8.8,0,152,2,3,1,08:00:27:3f:97:25,393255430,426974,6,5,340277,340277,189915,237059,34158198,359097232,0,0,0,0,0,0,0,0,7443
192.168.56.101,192.168.21.3,0,2199,11,4,LOCAL,08:00:27:3b:03:29,259688957,337840,3,2,337912,337912,151252,186588,226127693,33561264,0,0,0,0,0,0,0,0,7444
192.168.21.3,192.168.56.101,0,15220,11,4,1,08:00:27:4c:52:09,267707207,424644,3,2,337912,337912,237892,186752,233969795,33737412,0,0,0,0,0,0,0,0,7444
192.168.56.101,192.168.21.3,0,2331,13,4,1,08:00:27:3f:97:25,393255430,426974,6,5,340285,340285,189915,237059,34158198,359097232,0,0,0,0,0,0,0,0,7444
192.168.21.3,192.168.56.101,0,15220,11,4,LOCAL,08:00:27:21:b1:d0,259521784,340210,6,5,340285,340285,189838,150372,31490028,228031756,0,0,0,0,0,0,0,0,7444
192.168.56.101,4.2.2.2,0,496,6,4,1,08:00:27:3f:97:25,393255430,426974,6,5,340285,340285,189915,237059,34158198,359097232,0,0,0,0,0,0,0,0,7444
192.168.56.200,192.168.56.101,0,104,1,4,LOCAL,08:00:27:21:b1:d0,259521784,340210,6,5,340285,340285,189838,150372,31490028,228031756,0,0,0,0,0,0,0,0,7444
