src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
192.168.21.3,192.168.56.101,0,166669,106,4,1,08:00:27:4c:52:09,24611434,34519,3,2,27663,27626,19965,14554,21351353,3260081,0,0,0,0,0,0,0,0,7757
192.168.56.101,192.168.21.3,0,33071,119,4,LOCAL,08:00:27:3b:03:29,23957865,27599,3,2,27663,27626,13157,14442,20709072,3248793,0,0,0,0,0,0,0,0,7757
192.168.56.200,192.168.56.101,0,558,5,12,LOCAL,08:00:27:21:b1:d0,24177212,30780,6,5,30841,30804,17936,12844,3376135,20801077,0,0,0,0,0,0,0,0,7757
192.168.56.101,8.8.8.8,0,348,4,9,1,08:00:27:3f:97:25,34618731,37693,6,5,30841,30804,18014,19679,3638788,30979943,0,0,0,0,0,0,0,0,7757
192.168.56.101,4.2.2.2,0,348,4,9,1,08:00:27:3f:97:25,34618731,37693,6,5,30841,30804,18014,19679,3638788,30979943,0,0,0,0,0,0,0,0,7757
192.168.56.101,192.168.21.3,0,33553,121,4,1,08:00:27:3f:97:25,34618731,37693,6,5,30841,30804,18014,19679,3638788,30979943,0,0,0,0,0,0,0,0,7757
192.168.21.3,192.168.56.101,0,166669,106,4,LOCAL,08:00:27:21:b1:d0,24177212,30780,6,5,30841,30804,17936,12844,3376135,20801077,0,0,0,0,0,0,0,0,7757
192.168.21.3,192.168.56.101,0,207717,132,5,1,08:00:27:4c:52:09,24662149,34590,3,2,27721,27684,20006,14584,21393385,3268764,0,0,0,0,0,0,0,0,7758
192.168.56.101,192.168.21.3,0,41745,149,5,LOCAL,08:00:27:3b:03:29,24007260,27656,3,2,27721,27684,13184,14472,20749802,3257458,0,0,0,0,0,0,0,0,7758
192.168.56.200,192.168.56.101,0,558,5,13,LOCAL,08:00:27:21:b1:d0,24232077,30840,6,5,30897,30860,17968,12872,3384938,20847139,0,0,0,0,0,0,0,0,7758
192.168.56.101,8.8.8.8,0,348,4,11,1,08:00:27:3f:97:25,34699782,37770,6,5,30897,30860,18046,19724,3648039,31051743,0,0,0,0,0,0,0,0,7758
