src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
192.168.21.2,192.168.21.5,0,0,0,33,1,08:00:27:4c:52:09,122089149,191943,4,3,152892,152892,107725,84218,106773732,15315417,0,0,0,0,0,0,0,0,4378
192.168.21.3,192.168.56.101,0,1119977,744,20,1,08:00:27:4c:52:09,122089149,191943,4,3,152892,152892,107725,84218,106773732,15315417,0,0,0,0,0,0,0,0,4378
192.168.56.101,192.168.21.3,0,166920,930,20,LOCAL,08:00:27:3b:03:29,118468729,152873,4,3,152892,152892,68819,84054,103239544,15229185,0,0,0,0,0,0,0,0,4378
192.168.56.200,192.168.56.101,0,1327,12,33,LOCAL,08:00:27:21:b1:d0,118474374,154879,7,6,154902,154902,86517,68362,14386097,104088277,0,0,0,0,0,0,0,0,4378
192.168.56.101,4.2.2.2,0,1061,13,30,1,08:00:27:3f:97:25,178548464,193910,7,6,154902,154902,86556,107354,15602577,162945887,0,0,0,0,0,0,0,0,4378
192.168.56.101,8.8.8.8,0,1061,13,30,1,08:00:27:3f:97:25,178548464,193910,7,6,154902,154902,86556,107354,15602577,162945887,0,0,0,0,0,0,0,0,4378
192.168.56.101,192.168.21.3,0,167850,931,20,1,08:00:27:3f:97:25,178548464,193910,7,6,154902,154902,86556,107354,15602577,162945887,0,0,0,0,0,0,0,0,4378
192.168.21.3,192.168.56.101,0,1119977,744,20,LOCAL,08:00:27:21:b1:d0,118474374,154879,7,6,154902,154902,86517,68362,14386097,104088277,0,0,0,0,0,0,0,0,4378
192.168.56.100,192.168.56.104,0,0,0,14,1,08:00:27:3f:97:25,178548464,193910,7,6,154902,154902,86556,107354,15602577,162945887,0,0,0,0,0,0,0,0,4378
192.168.21.2,192.168.21.5,0,0,0,34,1,08:00:27:4c:52:09,122173539,192091,4,3,152985,152985,107804,84287,106846958,15326581,0,0,0,0,0,0,0,0,4379
