src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
192.168.21.3,192.168.56.101,0,132397,87,7,1,08:00:27:4c:52:09,1652056,3374,3,2,2811,2774,2083,1291,1418012,234044,0,0,0,0,0,0,0,0,2892
192.168.56.101,192.168.21.3,0,20862,105,7,LOCAL,08:00:27:3b:03:29,1585077,2789,3,2,2811,2774,1606,1183,1360169,224908,0,0,0,0,0,0,0,0,2892
192.168.56.200,192.168.56.101,0,882,8,19,LOCAL,08:00:27:21:b1:d0,1750790,4836,6,5,4861,4824,3286,1550,395537,1355253,0,0,0,0,0,0,0,0,2892
192.168.56.101,8.8.8.8,0,798,10,19,1,08:00:27:3f:97:25,2486015,5420,6,5,4861,4824,3315,2105,446622,2039393,0,0,0,0,0,0,0,0,2892
192.168.56.101,4.2.2.2,0,798,10,19,1,08:00:27:3f:97:25,2486015,5420,6,5,4861,4824,3315,2105,446622,2039393,0,0,0,0,0,0,0,0,2892
192.168.56.101,192.168.21.3,0,21356,107,7,1,08:00:27:3f:97:25,2486015,5420,6,5,4861,4824,3315,2105,446622,2039393,0,0,0,0,0,0,0,0,2892
192.168.21.3,192.168.56.101,0,132397,87,7,LOCAL,08:00:27:21:b1:d0,1750790,4836,6,5,4861,4824,3286,1550,395537,1355253,0,0,0,0,0,0,0,0,2892
192.168.21.3,192.168.56.101,0,142233,93,8,1,08:00:27:4c:52:09,1669053,3396,3,2,2823,2786,2096,1300,1433002,236051,0,0,0,0,0,0,0,0,2893
192.168.56.101,192.168.21.3,0,22239,111,8,LOCAL,08:00:27:3b:03:29,1601684,2807,3,2,2823,2786,1615,1192,1374769,226915,0,0,0,0,0,0,0,0,2893
192.168.56.200,192.168.56.101,0,882,8,21,LOCAL,08:00:27:21:b1:d0,1767397,4854,6,5,4873,4836,3295,1559,397418,1369979,0,0,0,0,0,0,0,0,2893
192.168.56.101,8.8.8.8,0,798,10,21,1,08:00:27:3f:97:25,2508804,5442,6,5,4873,4836,3324,2118,448629,2060175,0,0,0,0,0,0,0,0,2893
192.168.56.101,4.2.2.2,0,798,10,21,1,08:00:27:3f:97:25,2508804,5442,6,5,4873,4836,3324,2118,448629,2060175,0,0,0,0,0,0,0,0,2893
192.168.56.101,192.168.21.3,0,22733,113,8,1,08:00:27:3f:97:25,2508804,5442,6,5,4873,4836,3324,2118,448629,2060175,0,0,0,0,0,0,0,0,2893
192.168.21.3,192.168.56.101,0,142233,93,8,LOCAL,08:00:27:21:b1:d0,1767397,4854,6,5,4873,4836,3295,1559,397418,1369979,0,0,0,0,0,0,0,0,2893
192.168.21.3,192.168.56.101,0,152003,98,9,1,08:00:27:4c:52:09,1686289,3419,3,2,2834,2797,2109,1310,1448048,238241,0,0,0,0,0,0,0,0,2894
192.168.56.101,192.168.21.3,0,23616,117,9,LOCAL,08:00:27:3b:03:29,1618426,2824,3,2,2834,2797,1622,1202,1389321,229105,0,0,0,0,0,0,0,0,2894
192.168.56.200,192.168.56.101,0,882,8,22,LOCAL,08:00:27:21:b1:d0,1784619,4877,6,5,4884,4847,3309,1568,399760,1384859,0,0,0,0,0,0,0,0,2895
192.168.56.101,8.8.8.8,0,798,10,22,1,08:00:27:3f:97:25,2535306,5471,6,5,4884,4847,3338,2133,451167,2084139,0,0,0,0,0,0,0,0,2894
192.168.56.101,4.2.2.2,0,798,10,22,1,08:00:27:3f:97:25,2535306,5471,6,5,4884,4847,3338,2133,451167,2084139,0,0,0,0,0,0,0,0,2894
192.168.56.101,192.168.21.3,0,24110,119,9,1,08:00:27:3f:97:25,2535306,5471,6,5,4884,4847,3338,2133,451167,2084139,0,0,0,0,0,0,0,0,2894
192.168.21.3,192.168.56.101,0,152003,98,9,LOCAL,08:00:27:21:b1:d0,1784619,4877,6,5,4884,4847,3309,1568,399760,1384859,0,0,0,0,0,0,0,0,2895
192.168.21.3,192.168.56.101,0,171609,109,10,1,08:00:27:4c:52:09,1697820,3436,3,2,2861,2824,2118,1318,1458076,239744,0,0,0,0,0,0,0,0,2895
192.168.56.101,192.168.21.3,0,26502,131,10,LOCAL,08:00:27:3b:03:29,1629709,2839,3,2,2861,2824,1629,1210,1399119,230590,0,0,0,0,0,0,0,0,2896
192.168.56.200,192.168.56.101,0,1112,10,23,LOCAL,08:00:27:21:b1:d0,1795918,4892,6,5,4915,4878,3317,1575,401157,1394761,0,0,0,0,0,0,0,0,2896
192.168.56.101,8.8.8.8,0,972,12,23,1,08:00:27:3f:97:25,2549745,5488,6,5,4915,4878,3346,2142,452676,2097069,0,0,0,0,0,0,0,0,2896
192.168.56.101,4.2.2.2,0,972,12,23,1,08:00:27:3f:97:25,2549745,5488,6,5,4915,4878,3346,2142,452676,2097069,0,0,0,0,0,0,0,0,2896
192.168.56.101,192.168.21.3,0,26996,133,10,1,08:00:27:3f:97:25,2549745,5488,6,5,4915,4878,3346,2142,452676,2097069,0,0,0,0,0,0,0,0,2896
192.168.21.3,192.168.56.101,0,171609,109,10,LOCAL,08:00:27:21:b1:d0,1795918,4892,6,5,4915,4878,3317,1575,401157,1394761,0,0,0,0,0,0,0,0,2896
192.168.21.3,192.168.56.101,0,186269,117,11,1,08:00:27:4c:52:09,1714949,3460,3,2,2879,2842,2132,1328,1473132,241817,0,0,0,0,0,0,0,0,2897
192.168.56.101,192.168.21.3,0,28575,141,11,LOCAL,08:00:27:3b:03:29,1646330,2857,3,2,2879,2842,1637,1220,1413667,232663,0,0,0,0,0,0,0,0,2897
192.168.56.200,192.168.56.101,0,1112,10,24,LOCAL,08:00:27:21:b1:d0,1818096,4915,6,5,4933,4896,3330,1585,403795,1414301,0,0,0,0,0,0,0,0,2897
192.168.56.101,8.8.8.8,0,972,12,24,1,08:00:27:3f:97:25,2584217,5519,6,5,4933,4896,3359,2160,455496,2128721,0,0,0,0,0,0,0,0,2897
192.168.56.101,4.2.2.2,0,972,12,24,1,08:00:27:3f:97:25,2584217,5519,6,5,4933,4896,3359,2160,455496,2128721,0,0,0,0,0,0,0,0,2897
192.168.56.101,192.168.21.3,0,29069,143,11,1,08:00:27:3f:97:25,2584217,5519,6,5,4933,4896,3359,2160,455496,2128721,0,0,0,0,0,0,0,0,2897
192.168.21.3,192.168.56.101,0,186269,117,11,LOCAL,08:00:27:21:b1:d0,1818096,4915,6,5,4933,4896,3330,1585,403795,1414301,0,0,0,0,0,0,0,0,2897
192.168.21.3,192.168.56.101,0,200985,125,12,1,08:00:27:4c:52:09,1732317,3485,3,2,2898,2861,2146,1339,1488244,244073,0,0,0,0,0,0,0,0,2898
192.168.56.101,192.168.21.3,0,30831,152,12,LOCAL,08:00:27:3b:03:29,1663190,2876,3,2,2898,2861,1645,1231,1428271,234919,0,0,0,0,0,0,0,0,2898
192.168.56.200,192.168.56.101,0,1112,10,25,LOCAL,08:00:27:21:b1:d0,1829211,4927,6,5,4952,4915,3337,1590,405140,1424071,0,0,0,0,0,0,0,0,2898
192.168.56.101,8.8.8.8,0,972,12,25,1,08:00:27:3f:97:25,2601486,5535,6,5,4952,4915,3366,2169,456939,2144547,0,0,0,0,0,0,0,0,2898
192.168.56.101,4.2.2.2,0,972,12,25,1,08:00:27:3f:97:25,2601486,5535,6,5,4952,4915,3366,2169,456939,2144547,0,0,0,0,0,0,0,0,2898
192.168.56.101,192.168.21.3,0,31325,154,12,1,08:00:27:3f:97:25,2601486,5535,6,5,4952,4915,3366,2169,456939,2144547,0,0,0,0,0,0,0,0,2898
192.168.21.3,192.168.56.101,0,200985,125,12,LOCAL,08:00:27:21:b1:d0,1829211,4927,6,5,4952,4915,3337,1590,405140,1424071,0,0,0,0,0,0,0,0,2898
192.168.21.3,192.168.56.101,0,210821,131,13,1,08:00:27:4c:52:09,1749314,3507,3,2,2910,2873,2159,1348,1503234,246080,0,0,0,0,0,0,0,0,2899
192.168.56.101,192.168.21.3,0,32208,158,13,LOCAL,08:00:27:3b:03:29,1679745,2893,3,2,2910,2873,1653,1240,1442819,236926,0,0,0,0,0,0,0,0,2899
192.168.56.200,192.168.56.101,0,1112,10,26,LOCAL,08:00:27:21:b1:d0,1845752,4944,6,5,4964,4927,3346,1598,407021,1438731,0,0,0,0,0,0,0,0,2899
192.168.56.101,8.8.8.8,0,972,12,26,1,08:00:27:3f:97:25,2625723,5557,6,5,4964,4927,3375,2182,458946,2166777,0,0,0,0,0,0,0,0,2899
192.168.56.101,4.2.2.2,0,972,12,26,1,08:00:27:3f:97:25,2625723,5557,6,5,4964,4927,3375,2182,458946,2166777,0,0,0,0,0,0,0,0,2899
192.168.56.101,192.168.21.3,0,32702,160,13,1,08:00:27:3f:97:25,2625723,5557,6,5,4964,4927,3375,2182,458946,2166777,0,0,0,0,0,0,0,0,2899
192.168.21.3,192.168.56.101,0,210821,131,13,LOCAL,08:00:27:21:b1:d0,1845752,4944,6,5,4964,4927,3346,1598,407021,1438731,0,0,0,0,0,0,0,0,2899
192.168.21.3,192.168.56.101,0,225547,140,14,1,08:00:27:4c:52:09,1766682,3532,3,2,2929,2892,2174,1358,1518412,248270,0,0,0,0,0,0,0,0,2900
192.168.56.101,192.168.21.3,0,34281,168,14,LOCAL,08:00:27:3b:03:29,1696643,2913,3,2,2929,2892,1663,1250,1457527,239116,0,0,0,0,0,0,0,0,2900
192.168.56.200,192.168.56.101,0,1342,12,27,LOCAL,08:00:27:21:b1:d0,1863172,4970,6,5,4989,4952,3360,1610,409363,1453809,0,0,0,0,0,0,0,0,2900
