src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
10.0.0.2,10.0.0.1,0,1090,9,0,2,00:00:00:00:00:01,10907,108,3,3,79,79,22,86,2132,8775,0,0,0,0,0,0,0,0,81
10.0.0.1,10.0.0.2,0,405,6,0,1,00:00:00:00:00:02,10993,109,3,3,79,79,20,89,1533,9460,0,0,0,0,0,0,0,0,81
10.0.0.2,10.0.0.1,0,1090,9,1,2,00:00:00:00:00:01,10907,108,3,3,79,79,22,86,2132,8775,0,0,0,0,0,0,0,0,82
10.0.0.1,10.0.0.2,0,405,6,1,1,00:00:00:00:00:02,10993,109,3,3,79,79,20,89,1533,9460,0,0,0,0,0,0,0,0,82
10.0.0.2,10.0.0.1,0,1344,10,2,2,00:00:00:00:00:01,11161,109,3,3,80,80,23,86,2386,8775,0,0,0,0,0,0,0,0,83
10.0.0.1,10.0.0.2,0,405,6,2,1,00:00:00:00:00:02,11247,110,3,3,80,80,20,90,1533,9714,0,0,0,0,0,0,0,0,83
10.0.0.2,10.0.0.1,0,1344,10,3,2,00:00:00:00:00:01,11161,109,3,3,80,80,23,86,2386,8775,0,0,0,0,0,0,0,0,84
10.0.0.1,10.0.0.2,0,405,6,3,1,00:00:00:00:00:02,11247,110,3,3,80,80,20,90,1533,9714,0,0,0,0,0,0,0,0,84
10.0.0.2,10.0.0.1,0,1610,11,4,2,00:00:00:00:00:01,11427,110,3,3,81,81,24,86,2652,8775,0,0,0,0,0,0,0,0,85
10.0.0.1,10.0.0.2,0,405,6,4,1,00:00:00:00:00:02,11513,111,3,3,81,81,20,91,1533,9980,0,0,0,0,0,0,0,0,85
10.0.0.2,10.0.0.1,0,1968,12,5,2,00:00:00:00:00:01,11869,113,3,3,84,84,26,87,3052,8817,0,0,0,0,0,0,0,0,86
10.0.0.1,10.0.0.2,0,405,6,5,1,00:00:00:00:00:02,11955,114,3,3,84,84,21,93,1575,10380,0,0,0,0,0,0,0,0,86
10.0.0.2,10.0.0.1,0,1968,12,6,2,00:00:00:00:00:01,11869,113,3,3,84,84,26,87,3052,8817,0,0,0,0,0,0,0,0,87
10.0.0.1,10.0.0.2,0,405,6,6,1,00:00:00:00:00:02,11955,114,3,3,84,84,21,93,1575,10380,0,0,0,0,0,0,0,0,87
10.0.0.2,10.0.0.1,0,2313,13,7,2,00:00:00:00:00:01,12214,114,3,3,85,85,27,87,3397,8817,0,0,0,0,0,0,0,0,88
10.0.0.1,10.0.0.2,0,405,6,7,1,00:00:00:00:00:02,12300,115,3,3,85,85,21,94,1575,10725,0,0,0,0,0,0,0,0,88
10.0.0.2,10.0.0.1,0,2313,13,9,2,00:00:00:00:00:01,12394,115,3,3,85,85,28,87,3577,8817,0,0,0,0,0,0,0,0,89
10.0.0.1,10.0.0.2,0,405,6,8,1,00:00:00:00:00:02,12480,116,3,3,85,85,21,95,1575,10905,0,0,0,0,0,0,0,0,89
10.0.0.2,10.0.0.1,0,2493,14,10,2,00:00:00:00:00:01,12394,115,3,3,86,86,28,87,3577,8817,0,0,0,0,0,0,0,0,91
10.0.0.1,10.0.0.2,0,405,6,10,1,00:00:00:00:00:02,12480,116,3,3,86,86,21,95,1575,10905,0,0,0,0,0,0,0,0,91
10.0.0.2,10.0.0.1,0,2662,15,11,2,00:00:00:00:00:01,12563,116,3,3,87,87,29,87,3746,8817,0,0,0,0,0,0,0,0,92
10.0.0.1,10.0.0.2,0,405,6,11,1,00:00:00:00:00:02,12649,117,3,3,87,87,21,96,1575,11074,0,0,0,0,0,0,0,0,92
10.0.0.2,10.0.0.1,0,2662,15,12,2,00:00:00:00:00:01,12563,116,3,3,87,87,29,87,3746,8817,0,0,0,0,0,0,0,0,93
10.0.0.1,10.0.0.2,0,405,6,12,1,00:00:00:00:00:02,12649,117,3,3,87,87,21,96,1575,11074,0,0,0,0,0,0,0,0,93
10.0.0.2,10.0.0.1,0,2855,16,13,2,00:00:00:00:00:01,12756,117,3,3,88,88,30,87,3939,8817,0,0,0,0,0,0,0,0,94
10.0.0.1,10.0.0.2,0,405,6,13,1,00:00:00:00:00:02,12842,118,3,3,88,88,21,97,1575,11267,0,0,0,0,0,0,0,0,94
10.0.0.2,10.0.0.1,0,2855,16,14,2,00:00:00:00:00:01,13061,118,3,3,88,88,31,87,4244,8817,0,0,0,0,0,0,0,0,95
10.0.0.1,10.0.0.2,0,405,6,14,1,00:00:00:00:00:02,13147,119,3,3,88,88,21,98,1575,11572,0,0,0,0,0,0,0,0,95
10.0.0.2,10.0.0.1,0,3160,17,15,2,00:00:00:00:00:01,13061,118,3,3,89,89,31,87,4244,8817,0,0,0,0,0,0,0,0,96
10.0.0.1,10.0.0.2,0,405,6,15,1,00:00:00:00:00:02,13147,119,3,3,89,89,21,98,1575,11572,0,0,0,0,0,0,0,0,96
10.0.0.2,10.0.0.1,0,3514,18,16,2,00:00:00:00:00:01,13415,119,3,3,90,90,32,87,4598,8817,0,0,0,0,0,0,0,0,97
10.0.0.1,10.0.0.2,0,405,6,16,1,00:00:00:00:00:02,13501,120,3,3,90,90,21,99,1575,11926,0,0,0,0,0,0,0,0,97
10.0.0.2,10.0.0.1,0,3514,18,17,2,00:00:00:00:00:01,13415,119,3,3,90,90,32,87,4598,8817,0,0,0,0,0,0,0,0,98
10.0.0.1,10.0.0.2,0,405,6,17,1,00:00:00:00:00:02,13501,120,3,3,90,90,21,99,1575,11926,0,0,0,0,0,0,0,0,98
10.0.0.2,10.0.0.1,0,3845,19,18,2,00:00:00:00:00:01,13746,120,3,3,91,91,33,87,4929,8817,0,0,0,0,0,0,0,0,99
