src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
10.0.0.3,10.0.0.1,0,17904,8,0,3,00:00:00:00:00:01,129388,137,3,3,78,77,70,67,122723,6665,0,0,0,0,0,0,0,0,71
10.0.0.1,10.0.0.3,0,396,6,0,1,00:00:00:00:00:03,129740,141,3,3,78,77,36,105,2560,127180,0,0,0,0,0,0,0,0,71
10.0.0.3,10.0.0.1,0,17838,7,0,1,00:00:00:00:00:01,187116,155,3,3,76,76,46,109,175532,11584,0,0,0,0,0,0,0,0,71
10.0.0.1,10.0.0.3,0,396,6,0,3,00:00:00:00:00:03,186916,153,3,3,76,76,75,78,7193,179723,0,0,0,0,0,0,0,0,71
10.0.0.3,10.0.0.1,0,1217808,220,1,3,00:00:00:00:00:01,1455968,579,3,3,484,483,302,277,1435443,20525,0,0,0,0,0,0,0,0,72
10.0.0.1,10.0.0.3,0,13200,200,1,1,00:00:00:00:00:03,1456320,583,3,3,484,483,246,337,16420,1439900,0,0,0,0,0,0,0,0,72
10.0.0.3,10.0.0.1,0,1225048,220,1,1,00:00:00:00:00:01,1528704,605,3,3,483,483,284,321,1503128,25576,0,0,0,0,0,0,0,0,72
10.0.0.1,10.0.0.3,0,13200,200,1,3,00:00:00:00:00:03,1521132,601,3,3,483,483,287,314,21185,1499947,0,0,0,0,0,0,0,0,72
10.0.0.3,10.0.0.1,0,2425084,434,2,3,00:00:00:00:00:01,2810324,1025,3,3,884,883,542,483,2776203,34121,0,0,0,0,0,0,0,0,73
10.0.0.1,10.0.0.3,0,25476,386,2,1,00:00:00:00:00:03,2810676,1029,3,3,884,883,452,577,30016,2780660,0,0,0,0,0,0,0,0,73
10.0.0.3,10.0.0.1,0,2430876,434,2,1,00:00:00:00:00:01,2875556,1047,3,3,883,883,521,526,2836450,39106,0,0,0,0,0,0,0,0,73
10.0.0.1,10.0.0.3,0,25476,386,2,3,00:00:00:00:00:03,2869498,1044,3,3,883,883,492,552,34715,2834783,0,0,0,0,0,0,0,0,73
10.0.0.3,10.0.0.1,0,3638086,647,3,3,00:00:00:00:00:01,4158624,1467,3,3,1286,1285,773,694,4110577,48047,0,0,0,0,0,0,0,0,74
10.0.0.1,10.0.0.3,0,37950,575,3,1,00:00:00:00:00:03,4158976,1471,3,3,1286,1285,663,808,43942,4115034,0,0,0,0,0,0,0,0,74
10.0.0.3,10.0.0.1,0,3638020,646,3,1,00:00:00:00:00:01,4215036,1487,3,3,1284,1284,751,736,4162070,52966,0,0,0,0,0,0,0,0,74
10.0.0.1,10.0.0.3,0,37950,575,3,3,00:00:00:00:00:03,4214836,1485,3,3,1284,1284,702,783,48575,4166261,0,0,0,0,0,0,0,0,74
10.0.0.3,10.0.0.1,0,4839438,859,4,3,00:00:00:00:00:01,5466182,1906,3,3,1690,1689,1003,903,5404341,61841,0,0,0,0,0,0,0,0,75
10.0.0.1,10.0.0.3,0,50622,767,4,1,00:00:00:00:00:03,5466534,1910,3,3,1690,1689,872,1038,57736,5408798,0,0,0,0,0,0,0,0,75
10.0.0.3,10.0.0.1,0,5432808,964,4,1,00:00:00:00:00:01,5522528,1925,3,3,1891,1891,980,945,5455768,66760,0,0,0,0,0,0,0,0,75
10.0.0.1,10.0.0.3,0,57024,864,4,3,00:00:00:00:00:03,5522328,1923,3,3,1891,1891,911,1012,62369,5459959,0,0,0,0,0,0,0,0,75
10.0.0.3,10.0.0.1,0,6578608,1168,5,3,00:00:00:00:00:01,6741242,2336,3,3,2283,2282,1229,1107,6665961,75281,0,0,0,0,0,0,0,0,76
10.0.0.1,10.0.0.3,0,69234,1049,5,1,00:00:00:00:00:03,6741594,2340,3,3,2283,2282,1076,1264,71176,6670418,0,0,0,0,0,0,0,0,76
10.0.0.3,10.0.0.1,0,6578542,1167,5,1,00:00:00:00:00:01,6797720,2357,3,3,2281,2281,1207,1150,6717454,80266,0,0,0,0,0,0,0,0,76
10.0.0.1,10.0.0.3,0,69234,1049,5,3,00:00:00:00:00:03,6797520,2355,3,3,2281,2281,1116,1239,75875,6721645,0,0,0,0,0,0,0,0,76
10.0.0.3,10.0.0.1,0,7683666,1369,6,3,00:00:00:00:00:01,7938154,2744,3,3,2665,2664,1442,1302,7850003,88151,0,0,0,0,0,0,0,0,77
10.0.0.1,10.0.0.3,0,81180,1230,6,1,00:00:00:00:00:03,7938506,2748,3,3,2665,2664,1271,1477,84046,7854460,0,0,0,0,0,0,0,0,77
10.0.0.3,10.0.0.1,0,7683600,1368,6,1,00:00:00:00:00:01,7995948,2763,3,3,2663,2663,1419,1344,7902878,93070,0,0,0,0,0,0,0,0,77
