src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
10.0.0.3,10.0.0.1,0,0,0,0,3,00:00:00:00:00:01,9492,80,3,3,55,55,40,40,4734,4758,0,0,0,0,0,0,0,0,41
10.0.0.1,10.0.0.3,0,0,0,0,1,00:00:00:00:00:03,9602,81,3,3,55,55,12,69,996,8606,0,0,0,0,0,0,0,0,41
10.0.0.3,10.0.0.1,0,0,0,0,1,00:00:00:00:00:01,9802,83,3,3,57,56,12,71,996,8806,0,0,0,0,0,0,0,0,41
10.0.0.1,10.0.0.3,0,0,0,0,3,00:00:00:00:00:03,9492,80,3,3,57,56,40,40,4758,4734,0,0,0,0,0,0,0,0,41
10.0.0.3,10.0.0.1,0,0,0,1,3,00:00:00:00:00:01,9772,84,5,5,59,59,42,42,4874,4898,0,0,0,0,0,0,0,0,42
10.0.0.1,10.0.0.3,0,0,0,1,1,00:00:00:00:00:03,9644,82,5,5,59,59,12,70,996,8648,0,0,0,0,0,0,0,0,42
10.0.0.3,10.0.0.2,0,0,0,0,3,00:00:00:00:00:02,9772,84,5,5,59,59,42,42,4874,4898,0,0,0,0,0,0,0,0,42
10.0.0.2,10.0.0.3,0,0,0,0,2,00:00:00:00:00:03,9730,83,5,5,59,59,12,71,996,8734,0,0,0,0,0,0,0,0,42
10.0.0.3,10.0.0.1,0,0,0,1,1,00:00:00:00:00:01,10082,87,5,5,61,60,14,73,1136,8946,0,0,0,0,0,0,0,0,43
10.0.0.1,10.0.0.3,0,0,0,1,3,00:00:00:00:00:03,9772,84,5,5,61,60,42,42,4898,4874,0,0,0,0,0,0,0,0,43
10.0.0.3,10.0.0.2,0,0,0,0,1,00:00:00:00:00:02,10082,87,5,5,61,60,14,73,1136,8946,0,0,0,0,0,0,0,0,43
10.0.0.2,10.0.0.3,0,0,0,0,3,00:00:00:00:00:03,9772,84,5,5,61,60,42,42,4898,4874,0,0,0,0,0,0,0,0,43
10.0.0.3,10.0.0.1,0,98,1,2,3,00:00:00:00:00:01,9968,86,5,5,61,61,43,43,4972,4996,0,0,0,0,0,0,0,0,44
10.0.0.1,10.0.0.3,0,98,1,2,1,00:00:00:00:00:03,9840,84,5,5,61,61,13,71,1094,8746,0,0,0,0,0,0,0,0,44
10.0.0.3,10.0.0.2,0,0,0,1,3,00:00:00:00:00:02,9968,86,5,5,61,61,43,43,4972,4996,0,0,0,0,0,0,0,0,44
10.0.0.2,10.0.0.3,0,0,0,1,2,00:00:00:00:00:03,9730,83,5,5,61,61,12,71,996,8734,0,0,0,0,0,0,0,0,44
10.0.0.3,10.0.0.1,0,98,1,2,1,00:00:00:00:00:01,10278,89,5,5,63,62,15,74,1234,9044,0,0,0,0,0,0,0,0,44
10.0.0.1,10.0.0.3,0,98,1,2,3,00:00:00:00:00:03,9968,86,5,5,63,62,43,43,4996,4972,0,0,0,0,0,0,0,0,44
10.0.0.3,10.0.0.2,0,0,0,1,1,00:00:00:00:00:02,10278,89,5,5,63,62,15,74,1234,9044,0,0,0,0,0,0,0,0,44
10.0.0.2,10.0.0.3,0,0,0,1,3,00:00:00:00:00:03,9968,86,5,5,63,62,43,43,4996,4972,0,0,0,0,0,0,0,0,44
10.0.0.3,10.0.0.1,0,98,1,4,3,00:00:00:00:00:01,10360,90,5,5,63,63,45,45,5168,5192,0,0,0,0,0,0,0,0,45
10.0.0.1,10.0.0.3,0,98,1,3,1,00:00:00:00:00:03,10036,86,5,5,63,63,14,72,1192,8844,0,0,0,0,0,0,0,0,45
10.0.0.3,10.0.0.2,0,98,1,2,3,00:00:00:00:00:02,10360,90,5,5,63,63,45,45,5168,5192,0,0,0,0,0,0,0,0,45
10.0.0.2,10.0.0.3,0,98,1,2,2,00:00:00:00:00:03,9926,85,5,5,63,63,13,72,1094,8832,0,0,0,0,0,0,0,0,45
10.0.0.3,10.0.0.1,0,196,2,4,1,00:00:00:00:00:01,10670,93,5,5,67,66,17,76,1430,9240,0,0,0,0,0,0,0,0,45
10.0.0.1,10.0.0.3,0,196,2,4,3,00:00:00:00:00:03,10360,90,5,5,67,66,45,45,5192,5168,0,0,0,0,0,0,0,0,45
10.0.0.3,10.0.0.2,0,98,1,3,1,00:00:00:00:00:02,10670,93,5,5,67,66,17,76,1430,9240,0,0,0,0,0,0,0,0,45
10.0.0.2,10.0.0.3,0,98,1,3,3,00:00:00:00:00:03,10360,90,5,5,67,66,45,45,5192,5168,0,0,0,0,0,0,0,0,45
10.0.0.3,10.0.0.1,0,196,2,5,3,00:00:00:00:00:01,10640,94,5,5,69,69,47,47,5308,5332,0,0,0,0,0,0,0,0,46
10.0.0.1,10.0.0.3,0,196,2,5,1,00:00:00:00:00:03,10120,88,5,5,69,69,15,73,1234,8886,0,0,0,0,0,0,0,0,46
10.0.0.3,10.0.0.2,0,196,2,4,3,00:00:00:00:00:02,10640,94,5,5,69,69,47,47,5308,5332,0,0,0,0,0,0,0,0,46
10.0.0.2,10.0.0.3,0,196,2,4,2,00:00:00:00:00:03,10122,87,5,5,69,69,14,73,1192,8930,0,0,0,0,0,0,0,0,46
10.0.0.3,10.0.0.1,0,196,2,5,1,00:00:00:00:00:01,10950,97,5,5,70,69,19,78,1570,9380,0,0,0,0,0,0,0,0,46
10.0.0.1,10.0.0.3,0,196,2,5,3,00:00:00:00:00:03,10640,94,5,5,70,69,47,47,5332,5308,0,0,0,0,0,0,0,0,46
10.0.0.3,10.0.0.2,0,196,2,4,1,00:00:00:00:00:02,10950,97,5,5,70,69,19,78,1570,9380,0,0,0,0,0,0,0,0,46
10.0.0.2,10.0.0.3,0,196,2,4,3,00:00:00:00:00:03,10640,94,5,5,70,69,47,47,5332,5308,0,0,0,0,0,0,0,0,46
10.0.0.3,10.0.0.1,0,294,3,6,3,00:00:00:00:00:01,10920,98,5,5,73,73,49,49,5448,5472,0,0,0,0,0,0,0,0,47
10.0.0.1,10.0.0.3,0,294,3,6,1,00:00:00:00:00:03,10316,90,5,5,73,73,16,74,1332,8984,0,0,0,0,0,0,0,0,47
10.0.0.3,10.0.0.2,0,196,2,5,3,00:00:00:00:00:02,10920,98,5,5,73,73,49,49,5448,5472,0,0,0,0,0,0,0,0,47
10.0.0.2,10.0.0.3,0,196,2,5,2,00:00:00:00:00:03,10206,89,5,5,73,73,15,74,1234,8972,0,0,0,0,0,0,0,0,47
10.0.0.3,10.0.0.1,0,294,3,6,1,00:00:00:00:00:01,11230,101,5,5,74,73,21,80,1710,9520,0,0,0,0,0,0,0,0,47
10.0.0.1,10.0.0.3,0,294,3,6,3,00:00:00:00:00:03,10920,98,5,5,74,73,49,49,5472,5448,0,0,0,0,0,0,0,0,47
10.0.0.3,10.0.0.2,0,196,2,5,1,00:00:00:00:00:02,11230,101,5,5,74,73,21,80,1710,9520,0,0,0,0,0,0,0,0,47
10.0.0.2,10.0.0.3,0,196,2,5,3,00:00:00:00:00:03,10920,98,5,5,74,73,49,49,5472,5448,0,0,0,0,0,0,0,0,47
10.0.0.3,10.0.0.1,0,294,3,7,3,00:00:00:00:00:01,11116,100,5,5,75,75,50,50,5546,5570,0,0,0,0,0,0,0,0,48
