src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
10.0.0.2,10.0.0.1,0,918,10,0,2,00:00:00:00:00:01,18961,216,3,3,93,93,70,146,6028,12933,0,0,0,0,0,0,0,0,566
10.0.0.1,10.0.0.2,0,545,8,0,1,00:00:00:00:00:02,18937,216,3,3,93,93,69,147,4787,14150,0,0,0,0,0,0,0,0,566
10.0.0.2,10.0.0.1,0,10749,122,1,2,00:00:00:00:00:01,30646,368,3,3,317,317,146,222,12697,17949,0,0,0,0,0,0,0,0,567
10.0.0.1,10.0.0.2,0,7937,120,1,1,00:00:00:00:00:02,30622,368,3,3,317,317,145,223,9803,20819,0,0,0,0,0,0,0,0,567
10.0.0.2,10.0.0.1,0,28078,319,2,2,00:00:00:00:00:01,59906,748,3,3,711,711,336,412,29417,30489,0,0,0,0,0,0,0,0,568
10.0.0.1,10.0.0.2,0,20939,317,2,1,00:00:00:00:00:02,59882,748,3,3,711,711,335,413,22343,37539,0,0,0,0,0,0,0,0,568
10.0.0.2,10.0.0.1,0,39007,443,3,2,00:00:00:00:00:01,80244,1012,3,3,959,959,468,544,41043,39201,0,0,0,0,0,0,0,0,569
10.0.0.1,10.0.0.2,0,29123,441,3,1,00:00:00:00:00:02,80220,1012,3,3,959,959,467,545,31055,49165,0,0,0,0,0,0,0,0,569
10.0.0.2,10.0.0.1,0,51357,583,4,2,00:00:00:00:00:01,106172,1348,3,3,1238,1238,636,712,55883,50289,0,0,0,0,0,0,0,0,570
10.0.0.1,10.0.0.2,0,38297,580,4,1,00:00:00:00:00:02,106148,1348,3,3,1238,1238,635,713,42143,64005,0,0,0,0,0,0,0,0,570
10.0.0.2,10.0.0.1,0,62529,709,5,2,00:00:00:00:00:01,126039,1606,3,3,1493,1493,765,841,67260,58779,0,0,0,0,0,0,0,0,571
10.0.0.1,10.0.0.2,0,46679,707,5,1,00:00:00:00:00:02,126015,1606,3,3,1493,1493,764,842,50633,75382,0,0,0,0,0,0,0,0,571
10.0.0.2,10.0.0.1,0,72319,820,7,2,00:00:00:00:00:01,148540,1898,3,3,1715,1715,911,987,80125,68415,0,0,0,0,0,0,0,0,572
10.0.0.1,10.0.0.2,0,54005,818,7,1,00:00:00:00:00:02,148516,1898,3,3,1715,1715,910,988,60269,88247,0,0,0,0,0,0,0,0,572
10.0.0.2,10.0.0.1,0,84142,954,8,2,00:00:00:00:00:01,159040,2034,3,3,1983,1983,979,1055,86137,72903,0,0,0,0,0,0,0,0,573
10.0.0.1,10.0.0.2,0,62849,952,8,1,00:00:00:00:00:02,159016,2034,3,3,1983,1983,978,1056,64757,94259,0,0,0,0,0,0,0,0,573
10.0.0.2,10.0.0.1,0,88025,998,9,2,00:00:00:00:00:01,167675,2146,3,3,2071,2071,1035,1111,91076,76599,0,0,0,0,0,0,0,0,574
10.0.0.1,10.0.0.2,0,65753,996,9,1,00:00:00:00:00:02,167651,2146,3,3,2071,2071,1034,1112,68453,99198,0,0,0,0,0,0,0,0,574
10.0.0.2,10.0.0.1,0,93468,1060,10,2,00:00:00:00:00:01,178310,2284,3,3,2195,2195,1104,1180,97157,81153,0,0,0,0,0,0,0,0,576
10.0.0.1,10.0.0.2,0,69845,1058,10,1,00:00:00:00:00:02,178286,2284,3,3,2195,2195,1103,1181,73007,105279,0,0,0,0,0,0,0,0,576
10.0.0.2,10.0.0.1,0,104851,1189,11,2,00:00:00:00:00:01,201604,2586,3,3,2453,2453,1255,1331,110485,91119,0,0,0,0,0,0,0,0,577
10.0.0.1,10.0.0.2,0,78359,1187,11,1,00:00:00:00:00:02,201580,2586,3,3,2453,2453,1254,1332,82973,118607,0,0,0,0,0,0,0,0,577
10.0.0.2,10.0.0.1,0,116675,1323,12,2,00:00:00:00:00:01,222557,2858,3,3,2721,2721,1391,1467,122462,100095,0,0,0,0,0,0,0,0,578
10.0.0.1,10.0.0.2,0,87203,1321,12,1,00:00:00:00:00:02,222533,2858,3,3,2721,2721,1390,1468,91949,130584,0,0,0,0,0,0,0,0,578
10.0.0.2,10.0.0.1,0,127865,1450,13,2,00:00:00:00:00:01,242362,3115,3,3,3080,3080,1519,1596,133749,108613,0,0,0,0,0,0,0,0,579
10.0.0.1,10.0.0.2,0,95585,1448,13,1,00:00:00:00:00:02,242338,3115,3,3,3080,3080,1518,1597,100397,141941,0,0,0,0,0,0,0,0,579
10.0.0.2,10.0.0.1,0,135987,1542,14,2,00:00:00:00:00:01,249923,3213,3,3,3160,3160,1568,1645,138076,111847,0,0,0,0,0,0,0,0,580
10.0.0.1,10.0.0.2,0,101657,1540,14,1,00:00:00:00:00:02,249899,3213,3,3,3160,3160,1567,1646,103631,146268,0,0,0,0,0,0,0,0,580
10.0.0.2,10.0.0.1,0,143215,1624,15,2,00:00:00:00:00:01,265327,3413,3,3,3324,3324,1668,1745,146880,118447,0,0,0,0,0,0,0,0,581
10.0.0.1,10.0.0.2,0,107069,1622,15,1,00:00:00:00:00:02,265303,3413,3,3,3324,3324,1667,1746,110231,155072,0,0,0,0,0,0,0,0,581
10.0.0.2,10.0.0.1,0,153001,1735,16,2,00:00:00:00:00:01,279818,3601,3,3,3546,3546,1762,1839,155167,124651,0,0,0,0,0,0,0,0,582
10.0.0.1,10.0.0.2,0,114395,1733,16,1,00:00:00:00:00:02,279794,3601,3,3,3546,3546,1761,1840,116435,163359,0,0,0,0,0,0,0,0,582
10.0.0.2,10.0.0.1,0,160581,1821,17,2,00:00:00:00:00:01,291542,3753,3,3,3718,3718,1838,1915,161875,129667,0,0,0,0,0,0,0,0,583
10.0.0.1,10.0.0.2,0,120071,1819,17,1,00:00:00:00:00:02,291518,3753,3,3,3718,3718,1837,1916,121451,170067,0,0,0,0,0,0,0,0,583
10.0.0.2,10.0.0.1,0,160581,1821,19,2,00:00:00:00:00:01,291542,3753,3,3,3718,3718,1838,1915,161875,129667,0,0,0,0,0,0,0,0,584
10.0.0.1,10.0.0.2,0,120071,1819,19,1,00:00:00:00:00:02,291518,3753,3,3,3718,3718,1837,1916,121451,170067,0,0,0,0,0,0,0,0,584
10.0.0.2,10.0.0.1,0,160581,1821,20,2,00:00:00:00:00:01,291542,3753,3,3,3718,3718,1838,1915,161875,129667,0,0,0,0,0,0,0,0,585
10.0.0.1,10.0.0.2,0,120071,1819,20,1,00:00:00:00:00:02,291518,3753,3,3,3718,3718,1837,1916,121451,170067,0,0,0,0,0,0,0,0,585
10.0.0.2,10.0.0.1,0,160581,1821,21,2,00:00:00:00:00:01,291542,3753,3,3,3718,3718,1838,1915,161875,129667,0,0,0,0,0,0,0,0,586
10.0.0.1,10.0.0.2,0,120071,1819,21,1,00:00:00:00:00:02,291518,3753,3,3,3718,3718,1837,1916,121451,170067,0,0,0,0,0,0,0,0,586
10.0.0.2,10.0.0.1,0,160581,1821,22,2,00:00:00:00:00:01,291542,3753,3,3,3718,3718,1838,1915,161875,129667,0,0,0,0,0,0,0,0,588
