src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
10.0.2.2,10.0.2.15,0,590,1,137,4,08:00:27:f9:60:0e,570447,1311,9,9,142,142,602,709,494781,75666,0,0,0,0,0,0,0,0,147
10.0.2.15,8.8.8.8,0,0,0,135,LOCAL,52:54:00:12:35:02,8951,64,9,9,142,142,16,48,2643,6308,59,0,0,0,0,0,0,0,261
8.8.8.8,10.0.2.15,0,148,1,135,4,08:00:27:f9:60:0e,570447,1311,9,9,142,142,602,709,494781,75666,0,0,0,0,0,0,0,0,147
10.0.2.2,10.0.2.16,0,590,1,63,4,00:00:00:00:00:01,570447,1311,9,9,142,142,602,709,494781,75666,0,0,0,0,0,0,0,0,147
10.0.2.16,8.8.8.8,0,432,5,13,1,52:54:00:12:35:02,19602,167,9,9,142,142,23,144,2448,17154,0,0,0,0,0,0,0,0,261
8.8.8.8,10.0.2.16,0,514,5,13,4,00:00:00:00:00:01,570447,1311,9,9,142,142,602,709,494781,75666,0,0,0,0,0,0,0,0,147
10.0.2.16,142.250.195.196,0,98,1,4,1,52:54:00:12:35:02,19602,167,9,9,142,142,23,144,2448,17154,0,0,0,0,0,0,0,0,261
142.250.195.196,10.0.2.16,0,98,1,4,4,00:00:00:00:00:01,570447,1311,9,9,142,142,602,709,494781,75666,0,0,0,0,0,0,0,0,147
10.0.2.2,10.0.2.15,0,590,1,138,4,08:00:27:f9:60:0e,570447,1311,9,9,142,142,602,709,494781,75666,0,0,0,0,0,0,0,0,148
10.0.2.15,8.8.8.8,0,0,0,136,LOCAL,52:54:00:12:35:02,8951,64,9,9,142,142,16,48,2643,6308,59,0,0,0,0,0,0,0,262
8.8.8.8,10.0.2.15,0,148,1,136,4,08:00:27:f9:60:0e,570447,1311,9,9,142,142,602,709,494781,75666,0,0,0,0,0,0,0,0,148
10.0.2.2,10.0.2.16,0,590,1,64,4,00:00:00:00:00:01,570447,1311,9,9,142,142,602,709,494781,75666,0,0,0,0,0,0,0,0,148
10.0.2.16,8.8.8.8,0,432,5,14,1,52:54:00:12:35:02,19602,167,9,9,142,142,23,144,2448,17154,0,0,0,0,0,0,0,0,262
8.8.8.8,10.0.2.16,0,514,5,14,4,00:00:00:00:00:01,570447,1311,9,9,142,142,602,709,494781,75666,0,0,0,0,0,0,0,0,148
10.0.2.16,142.250.195.196,0,98,1,5,1,52:54:00:12:35:02,19602,167,9,9,142,142,23,144,2448,17154,0,0,0,0,0,0,0,0,262
