src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
,,0,126,3,1,3,8258,84,4,4,60,60,40,44,4021,4237,0,0,0,0,0,0,0,0,18
,,0,108,2,1,1,8458,86,4,4,60,60,18,68,1212,7246,0,0,0,0,0,0,0,0,18
,,0,0,0,0,1,8458,86,4,4,60,60,18,68,1212,7246,0,0,0,0,0,0,0,0,18
,,0,84,2,1,2,8330,84,5,5,60,60,13,71,954,7376,0,0,0,0,0,0,0,0,18
,,0,108,2,1,3,8312,85,5,5,60,60,45,40,4291,4021,0,0,0,0,0,0,0,0,18
,,0,0,0,0,1,8128,79,5,5,60,60,10,69,828,7300,0,0,0,0,0,0,0,0,18
,,0,0,0,0,3,8312,85,5,5,60,60,45,40,4291,4021,0,0,0,0,0,0,0,0,18
,,0,252,6,2,3,9140,103,7,7,75,75,46,57,4273,4867,0,0,0,0,0,0,0,0,19
,,0,162,3,2,1,9052,99,7,7,75,75,25,74,1554,7498,0,0,0,0,0,0,0,0,19
,,0,108,2,1,1,9052,99,7,7,75,75,25,74,1554,7498,0,0,0,0,0,0,0,0,19
,,0,42,1,0,3,9140,103,7,7,75,75,46,57,4273,4867,0,0,0,0,0,0,0,0,19
,,0,0,0,0,2,8572,89,7,7,75,75,15,74,1074,7498,0,0,0,0,0,0,0,0,19
,,0,0,0,0,2,8572,89,7,7,75,75,15,74,1074,7498,0,0,0,0,0,0,0,0,19
,,0,126,3,2,2,8774,94,7,7,81,81,15,79,1038,7736,0,0,0,0,0,0,0,0,19
,,0,216,4,2,3,9140,103,7,7,81,81,57,46,4867,4273,0,0,0,0,0,0,0,0,19
,,0,84,2,1,1,8764,93,7,7,81,81,14,79,996,7768,0,0,0,0,0,0,0,0,19
,,0,162,3,1,3,9140,103,7,7,81,81,57,46,4867,4273,0,0,0,0,0,0,0,0,19
,,0,0,0,0,1,8764,93,7,7,81,81,14,79,996,7768,0,0,0,0,0,0,0,0,19
,,0,0,0,0,2,8774,94,7,7,81,81,15,79,1038,7736,0,0,0,0,0,0,0,0,19
,,0,462,11,3,3,10244,127,7,7,105,105,54,73,4609,5635,0,0,0,0,0,0,0,0,20
,,0,216,4,3,1,9772,115,7,7,105,105,33,82,1938,7834,0,0,0,0,0,0,0,0,20
,,0,324,6,2,1,9772,115,7,7,105,105,33,82,1938,7834,0,0,0,0,0,0,0,0,20
,,0,252,6,1,3,10244,127,7,7,105,105,54,73,4609,5635,0,0,0,0,0,0,0,0,20
,,0,162,3,1,2,9292,105,7,7,105,105,23,82,1458,7834,0,0,0,0,0,0,0,0,20
,,0,108,2,1,2,9292,105,7,7,105,105,23,82,1458,7834,0,0,0,0,0,0,0,0,20
,,0,168,4,3,2,9344,107,7,7,105,105,17,90,1122,8222,0,0,0,0,0,0,0,0,21
,,0,378,7,3,3,10328,129,7,7,105,105,74,55,5677,4651,0,0,0,0,0,0,0,0,21
,,0,252,6,2,1,9760,115,7,7,105,105,21,94,1290,8470,0,0,0,0,0,0,0,0,21
,,0,540,10,2,3,10328,129,7,7,105,105,74,55,5677,4651,0,0,0,0,0,0,0,0,21
,,0,126,3,2,1,9760,115,7,7,105,105,21,94,1290,8470,0,0,0,0,0,0,0,0,21
,,0,84,2,1,2,9344,107,7,7,105,105,17,90,1122,8222,0,0,0,0,0,0,0,0,21
,,0,588,14,4,3,11348,151,7,7,123,123,62,89,4945,6403,0,0,0,0,0,0,0,0,22
,,0,324,6,4,1,10492,131,7,7,123,123,41,90,2322,8170,0,0,0,0,0,0,0,0,22
,,0,378,7,3,1,10492,131,7,7,123,123,41,90,2322,8170,0,0,0,0,0,0,0,0,22
,,0,378,9,3,3,11348,151,7,7,123,123,62,89,4945,6403,0,0,0,0,0,0,0,0,22
,,0,324,6,3,2,10012,121,7,7,123,123,31,90,1842,8170,0,0,0,0,0,0,0,0,22
,,0,108,2,2,2,10012,121,7,7,123,123,31,90,1842,8170,0,0,0,0,0,0,0,0,22
,,0,252,6,4,2,10010,122,7,7,123,123,21,101,1290,8720,0,0,0,0,0,0,0,0,22
,,0,486,9,4,3,11474,154,7,7,123,123,91,63,6487,4987,0,0,0,0,0,0,0,0,22
,,0,294,7,4,1,10534,132,7,7,123,123,25,107,1458,9076,0,0,0,0,0,0,0,0,22
,,0,756,14,4,3,11474,154,7,7,123,123,91,63,6487,4987,0,0,0,0,0,0,0,0,22
,,0,252,6,3,1,10534,132,7,7,123,123,25,107,1458,9076,0,0,0,0,0,0,0,0,22
,,0,84,2,3,2,10010,122,7,7,123,123,21,101,1290,8720,0,0,0,0,0,0,0,0,22
,,0,798,19,6,3,12590,178,7,7,153,153,71,107,5323,7267,0,0,0,0,0,0,0,0,23
,,0,540,10,5,1,11350,150,7,7,153,153,51,99,2802,8548,0,0,0,0,0,0,0,0,23
,,0,432,8,5,1,11350,150,7,7,153,153,51,99,2802,8548,0,0,0,0,0,0,0,0,23
,,0,588,14,4,3,12590,178,7,7,153,153,71,107,5323,7267,0,0,0,0,0,0,0,0,23
,,0,540,10,4,2,10774,138,7,7,153,153,39,99,2226,8548,0,0,0,0,0,0,0,0,23
,,0,162,3,4,2,10774,138,7,7,153,153,39,99,2226,8548,0,0,0,0,0,0,0,0,23
,,0,420,10,6,2,10772,139,7,7,153,153,25,114,1458,9314,0,0,0,0,0,0,0,0,23
,,0,756,14,6,3,12674,180,7,7,153,153,108,72,7309,5365,0,0,0,0,0,0,0,0,23
,,0,336,8,5,1,11392,151,7,7,153,153,30,121,1668,9724,0,0,0,0,0,0,0,0,23
,,0,1026,19,5,3,12674,180,7,7,153,153,108,72,7309,5365,0,0,0,0,0,0,0,0,23
,,0,420,10,4,1,11392,151,7,7,153,153,30,121,1668,9724,0,0,0,0,0,0,0,0,23
,,0,126,3,4,2,10772,139,7,7,153,153,25,114,1458,9314,0,0,0,0,0,0,0,0,23
,,0,966,23,7,3,13778,204,7,7,174,174,80,124,5701,8077,0,0,0,0,0,0,0,0,24
,,0,648,12,7,1,12154,168,7,7,174,174,60,108,3228,8926,0,0,0,0,0,0,0,0,24
,,0,540,10,6,1,12154,168,7,7,174,174,60,108,3228,8926,0,0,0,0,0,0,0,0,24
,,0,714,17,5,3,13778,204,7,7,174,174,80,124,5701,8077,0,0,0,0,0,0,0,0,24
,,0,540,10,5,2,11536,155,7,7,174,174,47,108,2610,8926,0,0,0,0,0,0,0,0,24
,,0,324,6,5,2,11536,155,7,7,174,174,47,108,2610,8926,0,0,0,0,0,0,0,0,24
,,0,504,12,7,2,11876,163,7,7,185,185,32,131,1752,10124,0,0,0,0,0,0,0,0,24
,,0,1026,19,7,3,13970,208,7,7,185,185,127,81,8227,5743,0,0,0,0,0,0,0,0,24
,,0,420,10,6,1,11962,164,7,7,185,185,32,132,1752,10210,0,0,0,0,0,0,0,0,24
,,0,1134,21,6,3,13970,208,7,7,185,185,127,81,8227,5743,0,0,0,0,0,0,0,0,24
,,0,420,10,5,1,11962,164,7,7,185,185,32,132,1752,10210,0,0,0,0,0,0,0,0,24
,,0,252,6,5,2,11876,163,7,7,185,185,32,131,1752,10124,0,0,0,0,0,0,0,0,24
,,0,1218,29,8,3,14936,229,7,7,207,207,88,141,6037,8899,0,0,0,0,0,0,0,0,26
,,0,756,14,8,1,12928,185,7,7,207,207,69,116,3666,9262,0,0,0,0,0,0,0,0,26
,,0,756,14,7,1,12928,185,7,7,207,207,69,116,3666,9262,0,0,0,0,0,0,0,0,26
,,0,924,22,6,3,14936,229,7,7,207,207,88,141,6037,8899,0,0,0,0,0,0,0,0,26
,,0,594,11,6,2,12256,171,7,7,207,207,55,116,2994,9262,0,0,0,0,0,0,0,0,26
,,0,540,10,6,2,12256,171,7,7,207,207,55,116,2994,9262,0,0,0,0,0,0,0,0,26
,,0,588,14,8,2,12626,180,7,7,207,207,37,143,1962,10664,0,0,0,0,0,0,0,0,26
,,0,1350,25,8,3,15104,233,7,7,207,207,143,90,8983,6121,0,0,0,0,0,0,0,0,26
,,0,588,14,8,1,12724,181,7,7,207,207,36,145,1920,10804,0,0,0,0,0,0,0,0,26
,,0,1404,26,7,3,15104,233,7,7,207,207,143,90,8983,6121,0,0,0,0,0,0,0,0,26
,,0,462,11,7,1,12724,181,7,7,207,207,36,145,1920,10804,0,0,0,0,0,0,0,0,26
,,0,420,10,6,2,12626,180,7,7,207,207,37,143,1962,10664,0,0,0,0,0,0,0,0,26
,,0,1344,32,10,3,16110,254,7,7,226,226,96,158,6373,9737,0,0,0,0,0,0,0,0,27
,,0,810,15,9,1,13788,203,7,7,226,226,77,126,4050,9738,0,0,0,0,0,0,0,0,27
,,0,864,16,9,1,13788,203,7,7,226,226,77,126,4050,9738,0,0,0,0,0,0,0,0,27
,,0,1050,25,8,3,16110,254,7,7,226,226,96,158,6373,9737,0,0,0,0,0,0,0,0,27
,,0,702,13,8,2,13046,188,7,7,226,226,64,124,3448,9598,0,0,0,0,0,0,0,0,27
,,0,594,11,8,2,13046,188,7,7,226,226,64,124,3448,9598,0,0,0,0,0,0,0,0,27
,,0,630,15,10,2,13390,196,7,7,232,232,40,156,2088,11302,0,0,0,0,0,0,0,0,27
,,0,1512,28,10,3,16278,258,7,7,232,232,160,98,9821,6457,0,0,0,0,0,0,0,0,27
,,0,714,17,9,1,13610,200,7,7,232,232,41,159,2130,11480,0,0,0,0,0,0,0,0,27
,,0,1674,31,9,3,16278,258,7,7,232,232,160,98,9821,6457,0,0,0,0,0,0,0,0,27
,,0,546,13,8,1,13610,200,7,7,232,232,41,159,2130,11480,0,0,0,0,0,0,0,0,27
,,0,504,12,8,2,13390,196,7,7,232,232,40,156,2088,11302,0,0,0,0,0,0,0,0,27
,,0,1512,36,11,3,17214,278,7,7,250,250,104,174,6709,10505,0,0,0,0,0,0,0,0,28
,,0,864,16,11,1,14508,219,7,7,250,250,85,134,4434,10074,0,0,0,0,0,0,0,0,28
,,0,1026,19,10,1,14508,219,7,7,250,250,85,134,4434,10074,0,0,0,0,0,0,0,0,28
,,0,1218,29,9,3,17214,278,7,7,250,250,104,174,6709,10505,0,0,0,0,0,0,0,0,28
,,0,756,14,9,2,13766,204,7,7,250,250,72,132,3832,9934,0,0,0,0,0,0,0,0,28
,,0,756,14,9,2,13766,204,7,7,250,250,72,132,3832,9934,0,0,0,0,0,0,0,0,28
,,0,672,16,11,2,13942,208,7,7,250,250,42,166,2172,11770,0,0,0,0,0,0,0,0,28
,,0,1674,31,11,3,17214,278,7,7,250,250,174,104,10505,6709,0,0,0,0,0,0,0,0,28
,,0,798,19,10,1,14246,214,7,7,250,250,45,169,2298,11948,0,0,0,0,0,0,0,0,28
,,0,1836,34,10,3,17214,278,7,7,250,250,174,104,10505,6709,0,0,0,0,0,0,0,0,28
,,0,588,14,9,1,14246,214,7,7,250,250,45,169,2298,11948,0,0,0,0,0,0,0,0,28
,,0,588,14,9,2,13942,208,7,7,250,250,42,166,2172,11770,0,0,0,0,0,0,0,0,28
,,0,1680,40,12,3,18458,304,7,7,282,282,114,190,7185,11273,0,0,0,0,0,0,0,0,29
,,0,972,18,12,1,15368,237,7,7,282,282,93,144,4818,10550,0,0,0,0,0,0,0,0,29
,,0,1134,21,11,1,15368,237,7,7,282,282,93,144,4818,10550,0,0,0,0,0,0,0,0,29
,,0,1344,32,10,3,18458,304,7,7,282,282,114,190,7185,11273,0,0,0,0,0,0,0,0,29
,,0,810,15,10,2,14626,222,7,7,282,282,80,142,4216,10410,0,0,0,0,0,0,0,0,29
,,0,864,16,10,2,14626,222,7,7,282,282,80,142,4216,10410,0,0,0,0,0,0,0,0,29
,,0,798,19,12,2,14774,226,7,7,281,281,47,179,2410,12364,0,0,0,0,0,0,0,0,30
,,0,1944,36,12,3,18542,306,7,7,281,281,191,115,11315,7227,0,0,0,0,0,0,0,0,30
