src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
,,0,0,0,0,3,40724,705,3,3,79,79,39,666,4060,36664,0,0,0,0,0,0,0,0,45
,,0,1300,25,0,2,40834,706,3,3,79,79,639,67,33588,7246,0,0,0,0,0,0,0,0,45
,,0,0,0,0,2,43750,762,3,3,80,79,11,751,898,42852,0,0,0,0,0,0,0,0,45
,,0,1248,24,0,3,43688,762,3,3,80,79,723,39,39628,4060,0,0,0,0,0,0,0,0,45
,,0,0,0,1,3,171588,3222,5,5,2084,2084,40,3182,4102,167486,0,0,0,0,0,0,0,0,46
,,0,70512,1356,1,2,109724,2031,5,5,2084,2084,1963,68,102436,7288,0,0,0,0,0,0,0,0,46
,,0,0,0,0,3,171588,3222,5,5,2084,2084,40,3182,4102,167486,0,0,0,0,0,0,0,0,46
,,0,34892,671,0,1,70318,1272,5,5,2084,2084,1202,70,62830,7488,0,0,0,0,0,0,0,0,46
,,0,0,0,1,2,114408,2121,5,5,3294,3293,11,2110,898,113510,0,0,0,0,0,0,0,0,47
,,0,103844,1997,1,3,181000,3403,5,5,3294,3293,3363,40,176898,4102,0,0,0,0,0,0,0,0,47
,,0,0,0,1,1,75050,1363,5,5,3294,3293,11,1352,898,74152,0,0,0,0,0,0,0,0,47
,,0,64324,1237,1,3,181000,3403,5,5,3294,3293,3363,40,176898,4102,0,0,0,0,0,0,0,0,47
,,0,0,0,2,3,320620,6088,5,5,5869,5869,40,6048,4102,316518,0,0,0,0,0,0,0,0,48
,,0,170196,3273,2,2,183564,3451,5,5,5869,5869,3383,68,176276,7288,0,0,0,0,0,0,0,0,48
,,0,0,0,2,3,320620,6088,5,5,5869,5869,40,6048,4102,316518,0,0,0,0,0,0,0,0,48
,,0,132028,2539,2,1,145510,2718,5,5,5869,5869,2648,70,138022,7488,0,0,0,0,0,0,0,0,48
,,0,0,0,2,2,189704,3569,5,5,5870,5869,11,3558,898,188806,0,0,0,0,0,0,0,0,48
,,0,170144,3272,2,3,332788,6322,5,5,5870,5869,6282,40,328686,4102,0,0,0,0,0,0,0,0,48
,,0,0,0,2,1,151542,2834,5,5,5870,5869,11,2823,898,150644,0,0,0,0,0,0,0,0,48
,,0,131976,2538,2,3,332788,6322,5,5,5870,5869,6282,40,328686,4102,0,0,0,0,0,0,0,0,48
,,0,0,0,3,3,471108,8982,5,5,8419,8419,40,8942,4102,467006,0,0,0,0,0,0,0,0,49
,,0,235456,4528,3,2,257924,4881,5,5,8419,8419,4813,68,250636,7288,0,0,0,0,0,0,0,0,49
,,0,0,0,3,3,471108,8982,5,5,8419,8419,40,8942,4102,467006,0,0,0,0,0,0,0,0,49
,,0,199368,3834,3,1,221586,4181,5,5,8419,8419,4111,70,214098,7488,0,0,0,0,0,0,0,0,49
,,0,0,0,3,2,263180,4982,5,5,8420,8419,11,4971,898,262282,0,0,0,0,0,0,0,0,49
,,0,235404,4527,3,3,481716,9186,5,5,8420,8419,9146,40,477614,4102,0,0,0,0,0,0,0,0,49
,,0,0,0,3,1,226994,4285,5,5,8420,8419,11,4274,898,226096,0,0,0,0,0,0,0,0,49
,,0,199316,3833,3,3,481716,9186,5,5,8420,8419,9146,40,477614,4102,0,0,0,0,0,0,0,0,49
,,0,0,0,4,3,613900,11728,5,5,10968,10968,40,11688,4102,609798,0,0,0,0,0,0,0,0,50
,,0,301392,5796,4,2,328488,6238,5,5,10968,10968,6170,68,321200,7288,0,0,0,0,0,0,0,0,50
,,0,0,0,4,3,613900,11728,5,5,10968,10968,40,11688,4102,609798,0,0,0,0,0,0,0,0,50
,,0,265980,5115,4,1,293866,5571,5,5,10968,10968,5501,70,286378,7488,0,0,0,0,0,0,0,0,50
,,0,0,0,4,2,333068,6326,5,5,10969,10968,11,6315,898,332170,0,0,0,0,0,0,0,0,50
,,0,301340,5795,4,3,622844,11900,5,5,10969,10968,11860,40,618742,4102,0,0,0,0,0,0,0,0,50
,,0,0,0,4,1,298234,5655,5,5,10969,10968,11,5644,898,297336,0,0,0,0,0,0,0,0,50
,,0,265928,5114,4,3,622844,11900,5,5,10969,10968,11860,40,618742,4102,0,0,0,0,0,0,0,0,50
,,0,0,0,5,3,765220,14638,5,5,13531,13531,40,14598,4102,761118,0,0,0,0,0,0,0,0,51
,,0,367016,7058,5,2,402900,7669,5,5,13531,13531,7601,68,395612,7288,0,0,0,0,0,0,0,0,51
,,0,0,0,5,3,765220,14638,5,5,13531,13531,40,14598,4102,761118,0,0,0,0,0,0,0,0,51
,,0,333632,6416,5,1,370774,7050,5,5,13531,13531,6980,70,363286,7488,0,0,0,0,0,0,0,0,51
,,0,0,0,6,2,406700,7742,5,5,13532,13531,11,7731,898,405802,0,0,0,0,0,0,0,0,51
,,0,366964,7057,5,3,773280,14793,5,5,13532,13531,14753,40,769178,4102,0,0,0,0,0,0,0,0,51
,,0,0,0,5,1,375038,7132,5,5,13532,13531,11,7121,898,374140,0,0,0,0,0,0,0,0,51
,,0,333580,6415,5,3,773280,14793,5,5,13532,13531,14753,40,769178,4102,0,0,0,0,0,0,0,0,51
,,0,0,0,7,3,916904,17555,5,5,17464,17464,40,17515,4102,912802,0,0,0,0,0,0,0,0,52
,,0,467116,8983,7,2,477104,9096,5,5,17464,17464,9028,68,469816,7288,0,0,0,0,0,0,0,0,52
,,0,0,0,6,3,916904,17555,5,5,17464,17464,40,17515,4102,912802,0,0,0,0,0,0,0,0,52
,,0,438048,8424,6,1,448254,8540,5,5,17464,17464,8470,70,440766,7488,0,0,0,0,0,0,0,0,52
,,0,0,0,7,2,481580,9182,5,5,17465,17464,11,9171,898,480682,0,0,0,0,0,0,0,0,52
,,0,467064,8982,7,3,926004,17730,5,5,17465,17464,17690,40,921902,4102,0,0,0,0,0,0,0,0,52
,,0,0,0,6,1,452882,8629,5,5,17465,17464,11,8618,898,451984,0,0,0,0,0,0,0,0,52
,,0,437996,8423,6,3,926004,17730,5,5,17465,17464,17690,40,921902,4102,0,0,0,0,0,0,0,0,52
,,0,0,0,8,3,1122574,20566,5,5,20134,20134,40,20526,4102,1118472,0,0,0,0,0,0,0,0,53
,,0,562698,10284,8,2,603422,10581,5,5,20134,20134,10513,68,596134,7288,0,0,0,0,0,0,0,0,53
