src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
10.0.0.2,internet,0,7762,92,2,2,52:75:9b:69:f1:fc,7762,92,1,4,326,323,126,212,11128,333405,0,0,0,0,0,0,0,0,4
10.0.0.3,internet,0,84,1,0,2,52:75:9b:69:f1:fc,84,1,1,3,69,69,11,81,870,10032,0,0,0,0,0,0,0,0,4
10.0.0.3,internet,0,84,1,1,2,52:75:9b:69:f1:fc,1482,16,2,5,114,114,38,120,3168,140736,0,0,0,0,0,0,0,0,5
10.0.0.3,internet,0,6660,86,1,2,52:75:9b:69:f1:fc,6660,86,1,4,260,260,97,183,7530,310492,0,0,0,0,0,0,0,0,6
10.0.0.3,internet,0,6660,86,2,2,52:75:9b:69:f1:fc,6660,86,1,3,261,261,97,184,7530,310579,0,0,0,0,0,0,0,0,7
10.0.0.3,internet,0,6660,86,3,2,52:75:9b:69:f1:fc,6743,87,2,5,268,268,99,190,7696,311189,0,0,0,0,0,0,0,0,8
10.0.0.3,internet,0,83,1,1,2,52:75:9b:69:f1:fc,83,1,2,4,273,273,100,194,7770,311793,0,0,0,0,0,0,0,0,9
10.0.0.3,internet,0,83,1,2,2,52:75:9b:69:f1:fc,157,2,2,4,276,276,102,195,7886,311835,0,0,0,0,0,0,0,0,10
10.0.0.3,internet,0,74,1,2,2,52:75:9b:69:f1:fc,74,1,1,3,280,280,102,196,7886,311877,0,0,0,0,0,0,0,0,11
10.0.0.4,internet,0,83,1,0,3,52:75:9b:69:f1:fc,83,1,3,6,292,292,14,95,1249,11607,0,0,0,0,0,0,0,0,11
10.0.0.4,internet,0,83,1,1,3,52:75:9b:69:f1:fc,1030,13,4,7,323,323,28,117,2370,14459,0,0,0,0,0,0,0,0,12
10.0.0.4,internet,0,947,12,1,3,52:75:9b:69:f1:fc,2507,27,5,10,367,367,47,143,4248,18571,0,0,0,0,0,0,0,0,13
10.0.0.4,internet,0,1023,12,1,3,52:75:9b:69:f1:fc,3272,29,4,10,409,409,62,165,6034,33427,0,0,0,0,0,0,0,0,14
10.0.0.4,internet,0,4961,61,1,3,52:75:9b:69:f1:fc,5856,66,2,6,507,507,131,234,10925,213210,0,0,0,0,0,0,0,0,15
10.0.0.2,internet,0,80,1,0,2,52:75:9b:69:f1:fc,80,1,1,5,939,936,131,240,11470,336407,0,0,0,0,0,0,0,0,16
10.0.0.4,internet,0,9743,142,2,3,52:75:9b:69:f1:fc,9743,142,1,3,671,671,197,301,14681,329050,0,0,0,0,0,0,0,0,16
10.0.0.2,internet,0,80,1,1,2,52:75:9b:69:f1:fc,1775,16,5,12,1008,1005,166,293,15189,360594,0,0,0,0,0,0,0,0,17
10.0.0.4,internet,0,9959,146,3,3,52:75:9b:69:f1:fc,9959,146,1,3,679,679,197,301,14681,329050,0,0,0,0,0,0,0,0,17
10.0.0.2,internet,0,1016,12,1,2,52:75:9b:69:f1:fc,4003,46,5,12,1077,1074,190,321,17445,367186,0,0,0,0,0,0,0,0,18
10.0.0.2,internet,0,2987,34,2,2,52:75:9b:69:f1:fc,6860,67,6,12,1174,1171,223,373,20951,391622,0,0,0,0,0,0,0,0,19
10.0.0.2,internet,0,2987,34,3,2,52:75:9b:69:f1:fc,8426,92,6,13,1225,1222,256,405,22949,434714,0,0,0,0,0,0,0,0,20
10.0.0.4,internet,0,82,1,0,3,52:75:9b:69:f1:fc,82,1,2,4,695,695,205,309,15715,329986,0,0,0,0,0,0,0,0,20
10.0.0.2,internet,0,3963,50,2,2,52:75:9b:69:f1:fc,3963,50,1,6,1255,1252,256,405,22949,434714,0,0,0,0,0,0,0,0,21
10.0.0.4,internet,0,82,1,1,3,52:75:9b:69:f1:fc,82,1,2,4,695,695,205,309,15715,329986,0,0,0,0,0,0,0,0,21
10.0.0.2,internet,0,3963,50,3,2,52:75:9b:69:f1:fc,3963,50,1,6,1255,1252,256,405,22949,434714,0,0,0,0,0,0,0,0,22
10.0.0.4,internet,0,82,1,2,3,52:75:9b:69:f1:fc,82,1,2,4,695,695,205,309,15715,329986,0,0,0,0,0,0,0,0,22
10.0.0.2,internet,0,84,1,0,2,52:75:9b:69:f1:fc,582,4,3,7,1299,1296,276,429,25102,438382,0,0,0,0,0,0,0,0,24
10.0.0.2,internet,0,84,1,1,2,52:75:9b:69:f1:fc,6035,54,7,14,1415,1412,338,525,31883,479474,0,0,0,0,0,0,0,0,25
10.0.0.2,internet,0,1164,12,2,2,52:75:9b:69:f1:fc,13871,154,6,13,1626,1623,421,611,38045,666214,0,0,0,0,0,0,0,0,26
10.0.0.2,internet,0,8635,104,2,2,52:75:9b:69:f1:fc,8635,104,1,3,1626,1623,421,611,38045,666214,0,0,0,0,0,0,0,0,27
10.0.0.2,internet,0,84,1,0,2,52:75:9b:69:f1:fc,84,1,2,4,1638,1635,424,620,38287,667248,0,0,0,0,0,0,0,0,29
10.0.0.2,internet,0,84,1,1,2,52:75:9b:69:f1:fc,1623,16,5,9,1682,1679,443,649,40146,670846,0,0,0,0,0,0,0,0,30
10.0.0.2,internet,0,1020,12,2,2,52:75:9b:69:f1:fc,2902,27,4,9,1715,1712,460,670,42148,697437,0,0,0,0,0,0,0,0,31
10.0.0.2,internet,0,2506,25,2,2,52:75:9b:69:f1:fc,3025,28,2,6,1740,1737,476,687,43156,867848,0,0,0,0,0,0,0,0,32
10.0.0.2,internet,0,3982,49,3,2,52:75:9b:69:f1:fc,3982,49,1,3,1789,1786,492,704,44128,918119,0,0,0,0,0,0,0,0,33
10.0.0.2,internet,0,3982,49,4,2,52:75:9b:69:f1:fc,3982,49,1,3,1790,1787,493,707,44170,918301,0,0,0,0,0,0,0,0,34
10.0.0.3,internet,0,84,1,0,2,52:75:9b:69:f1:fc,582,4,3,6,728,728,128,242,10436,321671,0,0,0,0,0,0,0,0,39
10.0.0.3,internet,0,84,1,1,2,52:75:9b:69:f1:fc,5843,45,5,10,832,832,157,290,14805,341883,0,0,0,0,0,0,0,0,40
10.0.0.3,internet,0,84,1,2,2,52:75:9b:69:f1:fc,14243,157,5,10,1056,1056,396,530,32667,2052739,0,0,0,0,0,0,0,0,41
10.0.0.3,internet,0,21416,264,2,2,52:75:9b:69:f1:fc,21416,264,1,3,1311,1311,396,530,32667,2052739,0,0,0,0,0,0,0,0,42
10.0.0.3,internet,0,21416,264,3,2,52:75:9b:69:f1:fc,22533,271,4,8,1336,1336,416,554,34781,2055951,0,0,0,0,0,0,0,0,43
10.0.0.3,internet,0,83,1,1,2,52:75:9b:69:f1:fc,9823,109,5,10,1567,1567,511,671,42937,2256477,0,0,0,0,0,0,0,0,44
10.0.0.3,internet,0,83,1,2,2,52:75:9b:69:f1:fc,9823,109,5,10,1567,1567,511,671,42937,2256477,0,0,0,0,0,0,0,0,45
10.0.0.3,internet,0,79,1,0,2,52:75:9b:69:f1:fc,572,4,3,6,1588,1588,531,695,44869,2259813,0,0,0,0,0,0,0,0,47
10.0.0.3,internet,0,79,1,1,2,52:75:9b:69:f1:fc,4193,39,5,10,1686,1686,558,743,47898,2281977,0,0,0,0,0,0,0,0,48
10.0.0.3,internet,0,79,1,2,2,52:75:9b:69:f1:fc,6659,72,5,10,1755,1755,595,783,50628,2357629,0,0,0,0,0,0,0,0,49
10.0.0.3,internet,0,5481,62,2,2,52:75:9b:69:f1:fc,5481,62,1,3,1763,1763,595,783,50628,2357629,0,0,0,0,0,0,0,0,50
10.0.0.3,internet,0,83,1,0,2,52:75:9b:69:f1:fc,580,4,3,6,1789,1789,615,807,52671,2361685,0,0,0,0,0,0,0,0,51
10.0.0.3,internet,0,83,1,1,2,52:75:9b:69:f1:fc,3271,38,5,10,1874,1874,642,847,54836,2377557,0,0,0,0,0,0,0,0,52
10.0.0.3,internet,0,1325,15,2,2,52:75:9b:69:f1:fc,3188,37,4,9,1874,1874,642,847,54836,2377557,0,0,0,0,0,0,0,0,53
10.0.0.4,internet,0,83,1,0,3,52:75:9b:69:f1:fc,892,6,3,6,1900,1900,231,347,18016,348633,0,0,0,0,0,0,0,0,55
10.0.0.4,internet,0,83,1,1,3,52:75:9b:69:f1:fc,1900,22,3,6,1929,1929,231,348,18016,348703,0,0,0,0,0,0,0,0,56
10.0.0.4,internet,0,1469,19,2,3,52:75:9b:69:f1:fc,1469,19,1,3,1929,1929,231,348,18016,348703,0,0,0,0,0,0,0,0,57
10.0.0.1,internet,0,0,0,0,1,52:75:9b:69:f1:fc,0,0,1,4,3027,3024,13,107,1004,12177,0,0,0,0,0,0,0,0,58
10.0.0.4,internet,0,54,1,0,3,52:75:9b:69:f1:fc,54,1,1,3,1935,1935,232,354,18070,349031,0,0,0,0,0,0,0,0,58
10.0.0.1,internet,0,0,0,1,1,52:75:9b:69:f1:fc,1397,15,4,9,3076,3073,37,139,3333,16637,0,0,0,0,0,0,0,0,59
10.0.0.4,internet,0,54,1,1,3,52:75:9b:69:f1:fc,54,1,1,3,1935,1935,232,354,18070,349031,0,0,0,0,0,0,0,0,59
10.0.0.1,internet,0,1559,18,1,1,52:75:9b:69:f1:fc,2132,21,4,9,3102,3099,77,189,6680,65345,0,0,0,0,0,0,0,0,60
10.0.0.1,internet,0,1559,18,2,1,52:75:9b:69:f1:fc,6998,86,2,6,3231,3228,118,229,9494,118385,0,0,0,0,0,0,0,0,61
10.0.0.1,internet,0,6087,80,2,1,52:75:9b:69:f1:fc,6087,80,1,3,3255,3252,118,229,9494,118385,0,0,0,0,0,0,0,0,62
10.0.0.1,internet,0,6087,80,3,1,52:75:9b:69:f1:fc,6087,80,1,3,3256,3253,118,230,9494,118472,0,0,0,0,0,0,0,0,63
10.0.0.3,internet,0,90,1,0,2,52:75:9b:69:f1:fc,729,5,3,7,1985,1985,662,880,56825,2381570,0,0,0,0,0,0,0,0,65
10.0.0.3,internet,0,90,1,1,2,52:75:9b:69:f1:fc,5695,58,7,14,2102,2102,800,1041,67603,2628608,0,0,0,0,0,0,0,0,66
10.0.0.3,internet,0,90,1,2,2,52:75:9b:69:f1:fc,11857,150,7,14,2291,2291,803,1045,67765,2628824,0,0,0,0,0,0,0,0,67
10.0.0.3,internet,0,6841,95,2,2,52:75:9b:69:f1:fc,6923,96,4,7,2305,2305,809,1053,68552,2630220,0,0,0,0,0,0,0,0,68
10.0.0.3,internet,0,82,1,1,2,52:75:9b:69:f1:fc,4024,40,5,10,2415,2415,888,1158,75518,2814870,0,0,0,0,0,0,0,0,69
10.0.0.3,internet,0,1138,14,2,2,52:75:9b:69:f1:fc,9882,119,3,7,2576,2576,931,1202,78680,2974714,0,0,0,0,0,0,0,0,70
10.0.0.3,internet,0,8744,105,2,2,52:75:9b:69:f1:fc,8744,105,1,3,2576,2576,931,1202,78680,2974714,0,0,0,0,0,0,0,0,71
10.0.0.4,internet,0,80,1,0,3,52:75:9b:69:f1:fc,920,6,3,6,2599,2599,243,377,19429,351108,0,0,0,0,0,0,0,0,73
10.0.0.4,internet,0,80,1,1,3,52:75:9b:69:f1:fc,5646,53,6,12,2726,2726,294,449,24478,377368,0,0,0,0,0,0,0,0,74
10.0.0.4,internet,0,80,1,2,3,52:75:9b:69:f1:fc,5566,52,6,11,2731,2731,298,457,25267,378512,0,0,0,0,0,0,0,0,75
10.0.0.4,internet,0,3383,34,2,3,52:75:9b:69:f1:fc,7183,72,3,7,2820,2820,336,509,28497,419596,0,0,0,0,0,0,0,0,76
10.0.0.3,internet,0,80,1,0,2,52:75:9b:69:f1:fc,296,3,3,8,2847,2847,940,1215,79388,2975692,0,0,0,0,0,0,0,0,77
10.0.0.4,internet,0,3945,41,2,3,52:75:9b:69:f1:fc,3945,41,1,8,2852,2852,336,509,28497,419596,0,0,0,0,0,0,0,0,77
10.0.0.3,internet,0,80,1,1,2,52:75:9b:69:f1:fc,1564,21,3,8,2892,2892,956,1243,80548,2999564,0,0,0,0,0,0,0,0,78
10.0.0.3,internet,0,80,1,2,2,52:75:9b:69:f1:fc,1564,21,3,6,2892,2892,956,1243,80548,2999564,0,0,0,0,0,0,0,0,79
10.0.0.2,internet,0,80,1,0,2,52:75:9b:69:f1:fc,80,1,2,5,4227,4224,500,729,44932,920444,0,0,0,0,0,0,0,0,81
10.0.0.2,internet,0,80,1,1,2,52:75:9b:69:f1:fc,4735,49,7,14,4366,4363,567,829,51423,973528,0,0,0,0,0,0,0,0,82
10.0.0.2,internet,0,1124,14,2,2,52:75:9b:69:f1:fc,22451,281,6,13,4839,4836,786,1053,67785,1522296,0,0,0,0,0,0,0,0,83
10.0.0.2,internet,0,18511,236,2,2,52:75:9b:69:f1:fc,19043,240,4,8,4860,4857,806,1077,69681,1525636,0,0,0,0,0,0,0,0,84
10.0.0.2,internet,0,77,1,1,2,52:75:9b:69:f1:fc,5313,56,7,14,5001,4998,869,1169,75600,1578820,0,0,0,0,0,0,0,0,85
10.0.0.2,internet,0,77,1,2,2,52:75:9b:69:f1:fc,12483,164,7,14,5223,5220,961,1262,81348,1772786,0,0,0,0,0,0,0,0,86
10.0.0.2,internet,0,7849,111,2,2,52:75:9b:69:f1:fc,7849,111,1,3,5223,5220,961,1262,81348,1772786,0,0,0,0,0,0,0,0,87
10.0.0.1,internet,0,83,1,0,1,52:75:9b:69:f1:fc,83,1,1,3,5229,5226,121,240,9702,119334,0,0,0,0,0,0,0,0,98
