src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
,,0,420,10,0,2,9464,104,5,5,80,80,21,83,1318,8146,0,0,0,0,0,0,0,0,44
,,0,0,0,0,1,9464,104,5,5,80,80,21,83,1318,8146,0,0,0,0,0,0,0,0,44
,,0,84,2,0,3,9264,102,5,5,80,80,43,59,4296,4968,0,0,0,0,0,0,0,0,44
,,0,0,0,0,3,9264,102,5,5,80,80,43,59,4296,4968,0,0,0,0,0,0,0,0,44
,,0,42,1,0,1,9380,102,5,5,77,77,12,90,940,8440,0,0,0,0,0,0,0,0,44
,,0,42,1,0,2,9290,101,5,5,77,77,12,89,940,8350,0,0,0,0,0,0,0,0,44
,,0,0,0,0,1,9380,102,5,5,77,77,12,90,940,8440,0,0,0,0,0,0,0,0,44
,,0,0,0,0,2,9290,101,5,5,77,77,12,89,940,8350,0,0,0,0,0,0,0,0,44
,,0,420,10,1,2,20384,364,5,5,314,314,151,213,6778,13606,0,0,0,0,0,0,0,0,45
,,0,0,0,1,1,20384,364,5,5,314,314,151,213,6778,13606,0,0,0,0,0,0,0,0,45
,,0,84,2,1,3,20184,362,5,5,314,314,43,319,4296,15888,0,0,0,0,0,0,0,0,45
,,0,0,0,1,3,20184,362,5,5,314,314,43,319,4296,15888,0,0,0,0,0,0,0,0,45
,,0,42,1,1,1,21392,388,5,5,311,311,12,376,940,20452,0,0,0,0,0,0,0,0,45
,,0,42,1,1,2,21302,387,5,5,311,311,12,375,940,20362,0,0,0,0,0,0,0,0,45
,,0,0,0,1,1,21392,388,5,5,311,311,12,376,940,20452,0,0,0,0,0,0,0,0,45
,,0,0,0,1,2,21302,387,5,5,311,311,12,375,940,20362,0,0,0,0,0,0,0,0,45
,,0,420,10,2,2,27902,543,5,5,492,492,240,303,10516,17386,0,0,0,0,0,0,0,0,46
,,0,0,0,2,1,27902,543,5,5,492,492,240,303,10516,17386,0,0,0,0,0,0,0,0,46
,,0,126,3,2,3,27744,542,5,5,492,492,45,497,4380,23364,0,0,0,0,0,0,0,0,46
,,0,42,1,2,3,27744,542,5,5,492,492,45,497,4380,23364,0,0,0,0,0,0,0,0,46
,,0,42,1,2,1,27776,540,5,5,489,489,12,528,940,26836,0,0,0,0,0,0,0,0,46
,,0,84,2,2,2,27770,541,5,5,489,489,14,527,1024,26746,0,0,0,0,0,0,0,0,46
,,0,0,0,2,1,27776,540,5,5,489,489,12,528,940,26836,0,0,0,0,0,0,0,0,46
,,0,42,1,2,2,27770,541,5,5,489,489,14,527,1024,26746,0,0,0,0,0,0,0,0,46
,,0,420,10,3,2,32060,642,5,5,596,596,289,353,12574,19486,0,0,0,0,0,0,0,0,47
,,0,0,0,3,1,32060,642,5,5,596,596,289,353,12574,19486,0,0,0,0,0,0,0,0,47
,,0,168,4,3,3,31944,642,5,5,596,596,47,595,4464,27480,0,0,0,0,0,0,0,0,47
,,0,84,2,3,3,31944,642,5,5,596,596,47,595,4464,27480,0,0,0,0,0,0,0,0,47
,,0,42,1,3,1,31892,638,5,5,593,593,12,626,940,30952,0,0,0,0,0,0,0,0,47
,,0,126,3,3,2,31970,641,5,5,593,593,16,625,1108,30862,0,0,0,0,0,0,0,0,47
,,0,0,0,3,1,31892,638,5,5,593,593,12,626,940,30952,0,0,0,0,0,0,0,0,47
,,0,84,2,3,2,31970,641,5,5,593,593,16,625,1108,30862,0,0,0,0,0,0,0,0,47
