src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
,,0,0,0,0,3,61004,1336,3,3,942,942,39,1297,4084,56920,0,0,0,0,0,0,0,0,35
,,0,37296,888,0,1,61208,1338,3,3,942,942,1269,69,53734,7474,0,0,0,0,0,0,0,0,35
,,0,0,0,0,2,62928,1378,3,3,943,943,11,1367,898,62030,0,0,0,0,0,0,0,0,35
,,0,37296,888,0,3,62642,1375,3,3,943,943,1336,39,58558,4084,0,0,0,0,0,0,0,0,35
,,0,0,0,1,3,131816,3022,3,3,2536,2536,39,2983,4084,127732,0,0,0,0,0,0,0,0,36
,,0,104244,2482,1,1,131978,3023,3,3,2536,2536,2954,69,124504,7474,0,0,0,0,0,0,0,0,36
,,0,0,0,1,2,135084,3096,3,3,2537,2537,11,3085,898,134186,0,0,0,0,0,0,0,0,36
,,0,104244,2482,1,3,134798,3093,3,3,2537,2537,3054,39,130714,4084,0,0,0,0,0,0,0,0,36
,,0,0,0,2,3,206744,4806,3,3,4163,4163,39,4767,4084,202660,0,0,0,0,0,0,0,0,37
,,0,172578,4109,2,1,206948,4808,3,3,4163,4163,4739,69,199474,7474,0,0,0,0,0,0,0,0,37
,,0,0,0,2,2,210180,4884,3,3,4164,4164,11,4873,898,209282,0,0,0,0,0,0,0,0,37
,,0,172578,4109,2,3,209894,4881,3,3,4164,4164,4842,39,205810,4084,0,0,0,0,0,0,0,0,37
,,0,0,0,4,3,291416,6822,5,5,6392,6392,40,6782,4126,287290,0,0,0,0,0,0,0,0,38
,,0,265986,6333,3,1,283178,6623,5,5,6392,6392,6553,70,275662,7516,0,0,0,0,0,0,0,0,38
,,0,0,0,0,3,291416,6822,5,5,6392,6392,40,6782,4126,287290,0,0,0,0,0,0,0,0,38
,,0,84,2,0,2,16810,281,5,5,6392,6392,211,70,9298,7512,0,0,0,0,0,0,0,0,38
,,0,0,0,4,2,286662,6705,5,5,6393,6393,11,6694,898,285764,0,0,0,0,0,0,0,0,38
,,0,265986,6333,4,3,298304,6986,5,5,6393,6393,6946,40,294178,4126,0,0,0,0,0,0,0,0,38
,,0,0,0,0,1,20296,364,5,5,6393,6393,11,353,898,19398,0,0,0,0,0,0,0,0,38
,,0,84,2,0,3,298304,6986,5,5,6393,6393,6946,40,294178,4126,0,0,0,0,0,0,0,0,38
,,0,0,0,5,3,446018,10503,5,5,9714,9714,40,10463,4126,441892,0,0,0,0,0,0,0,0,39
,,0,336882,8021,5,1,361340,8484,5,5,9714,9714,8414,70,353824,7516,0,0,0,0,0,0,0,0,39
,,0,0,0,1,3,446018,10503,5,5,9714,9714,40,10463,4126,441892,0,0,0,0,0,0,0,0,39
,,0,68712,1636,1,2,93250,2101,5,5,9714,9714,2031,70,85738,7512,0,0,0,0,0,0,0,0,39
,,0,0,0,5,2,367344,8626,5,5,9715,9715,11,8615,898,366446,0,0,0,0,0,0,0,0,39
,,0,336882,8021,5,3,457946,10787,5,5,9715,9715,10747,40,453820,4126,0,0,0,0,0,0,0,0,39
,,0,0,0,1,1,99256,2244,5,5,9715,9715,11,2233,898,98358,0,0,0,0,0,0,0,0,39
,,0,68712,1636,1,3,457946,10787,5,5,9715,9715,10747,40,453820,4126,0,0,0,0,0,0,0,0,39
,,0,42,1,6,3,594950,14049,6,6,14011,14011,41,14008,4168,590782,0,0,0,0,0,0,0,0,40
,,0,419958,9999,6,1,429422,10105,6,6,14011,14011,10034,71,421864,7558,0,0,0,0,0,0,0,0,40
,,0,0,0,2,3,594950,14049,6,6,14011,14011,41,14008,4168,590782,0,0,0,0,0,0,0,0,40
,,0,164724,3922,2,2,174142,4027,6,6,14011,14011,3956,71,166588,7554,0,0,0,0,0,0,0,0,40
,,0,84,2,0,1,429422,10105,6,6,14011,14011,10034,71,421864,7558,0,0,0,0,0,0,0,0,40
,,0,0,0,6,2,428538,10083,6,6,14012,14012,11,10072,898,427640,0,0,0,0,0,0,0,0,40
,,0,419958,9999,6,3,603518,14253,6,6,14012,14012,14212,41,599350,4168,0,0,0,0,0,0,0,0,40
,,0,0,0,2,1,183676,4254,6,6,14012,14012,12,4242,940,182736,0,0,0,0,0,0,0,0,40
,,0,166026,3953,2,3,603518,14253,6,6,14012,14012,14212,41,599350,4168,0,0,0,0,0,0,0,0,40
,,0,0,0,0,1,183676,4254,6,6,14012,14012,12,4242,940,182736,0,0,0,0,0,0,0,0,40
,,0,42,1,7,3,752576,17802,6,6,17377,17377,41,17761,4168,748408,0,0,0,0,0,0,0,0,41
,,0,419958,9999,7,1,506996,11952,6,6,17377,17377,11881,71,499438,7558,0,0,0,0,0,0,0,0,41
,,0,0,0,3,3,752576,17802,6,6,17377,17377,41,17761,4168,748408,0,0,0,0,0,0,0,0,41
,,0,237300,5650,3,2,254194,5933,6,6,17377,17377,5862,71,246640,7554,0,0,0,0,0,0,0,0,41
,,0,70056,1668,1,1,506996,11952,6,6,17377,17377,11881,71,499438,7558,0,0,0,0,0,0,0,0,41
,,0,0,0,7,2,428538,10083,6,6,17378,17378,11,10072,898,427640,0,0,0,0,0,0,0,0,41
,,0,419958,9999,7,3,762362,18035,6,6,17378,17378,17994,41,758194,4168,0,0,0,0,0,0,0,0,41
,,0,0,0,3,1,342520,8036,6,6,17378,17378,12,8024,940,341580,0,0,0,0,0,0,0,0,41
,,0,307398,7319,3,3,762362,18035,6,6,17378,17378,17994,41,758194,4168,0,0,0,0,0,0,0,0,41
,,0,0,0,1,1,342520,8036,6,6,17378,17378,12,8024,940,341580,0,0,0,0,0,0,0,0,41
,,0,42,1,8,3,915620,21684,6,6,20853,20853,41,21643,4168,911452,0,0,0,0,0,0,0,0,42
,,0,419958,9999,8,1,588686,13897,6,6,20853,20853,13826,71,581128,7558,0,0,0,0,0,0,0,0,42
,,0,0,0,4,3,915620,21684,6,6,20853,20853,41,21643,4168,911452,0,0,0,0,0,0,0,0,42
,,0,309918,7379,4,2,335506,7869,6,6,20853,20853,7798,71,327952,7554,0,0,0,0,0,0,0,0,42
,,0,143430,3415,2,1,588686,13897,6,6,20853,20853,13826,71,581128,7558,0,0,0,0,0,0,0,0,42
,,0,0,0,8,2,428538,10083,6,6,20854,20854,11,10072,898,427640,0,0,0,0,0,0,0,0,42
,,0,419958,9999,8,3,925616,21922,6,6,20854,20854,21881,41,921448,4168,0,0,0,0,0,0,0,0,42
,,0,0,0,4,1,505774,11923,6,6,20854,20854,12,11911,940,504834,0,0,0,0,0,0,0,0,42
,,0,453390,10795,4,3,925616,21922,6,6,20854,20854,21881,41,921448,4168,0,0,0,0,0,0,0,0,42
,,0,0,0,2,1,505774,11923,6,6,20854,20854,12,11911,940,504834,0,0,0,0,0,0,0,0,42
,,0,42,1,9,3,1079756,25592,6,6,24357,24357,41,25551,4168,1075588,0,0,0,0,0,0,0,0,43
,,0,419958,9999,9,1,670796,15852,6,6,24357,24357,15781,71,663238,7558,0,0,0,0,0,0,0,0,43
,,0,0,0,5,3,1079756,25592,6,6,24357,24357,41,25551,4168,1075588,0,0,0,0,0,0,0,0,43
,,0,383670,9135,5,2,417574,9823,6,6,24357,24357,9752,71,410020,7554,0,0,0,0,0,0,0,0,43
,,0,216846,5163,3,1,670796,15852,6,6,24357,24357,15781,71,663238,7558,0,0,0,0,0,0,0,0,43
,,0,0,0,9,2,428538,10083,6,6,24358,24358,11,10072,898,427640,0,0,0,0,0,0,0,0,43
,,0,419958,9999,9,3,1092020,25884,6,6,24358,24358,25843,41,1087852,4168,0,0,0,0,0,0,0,0,43
,,0,0,0,5,1,672178,15885,6,6,24358,24358,12,15873,940,671238,0,0,0,0,0,0,0,0,43
,,0,600558,14299,5,3,1092020,25884,6,6,24358,24358,25843,41,1087852,4168,0,0,0,0,0,0,0,0,43
,,0,0,0,3,1,672178,15885,6,6,24358,24358,12,15873,940,671238,0,0,0,0,0,0,0,0,43
,,0,42,1,10,3,1225328,29058,6,6,29062,29062,42,29016,4210,1221118,0,0,0,0,0,0,0,0,45
,,0,419958,9999,10,1,751226,17767,6,6,29062,29062,17695,72,743626,7600,0,0,0,0,0,0,0,0,45
,,0,42,1,6,3,1225328,29058,6,6,29062,29062,42,29016,4210,1221118,0,0,0,0,0,0,0,0,45
,,0,440622,10491,6,2,482758,11375,6,6,29062,29062,11303,72,475162,7596,0,0,0,0,0,0,0,0,45
