src,dst,table_id,ip_bytes,ip_packet,ip_duration,in_port,dl_dst,port_bytes,port_packet,port_flow_count,table_active_count,table_lookup_count,table_matched_count,port_rx_packets,port_tx_packets,port_rx_bytes,port_tx_bytes,port_rx_dropped,port_tx_dropped,port_rx_errors,port_tx_errors,port_rx_frame_err,port_rx_over_err,port_rx_crc_err,port_collisions,port_duration_sec
10.0.0.3,internet,0,0,0,0,2,6e:c5:e0:c0:e5:ea,600,4,3,6,51,50,28,59,2438,6736,0,0,0,0,0,0,0,0,1
10.0.0.3,internet,0,0,0,1,2,6e:c5:e0:c0:e5:ea,3271,29,5,10,150,149,45,123,4625,27647,0,0,0,0,0,0,0,0,2
10.0.0.3,internet,0,1017,12,2,2,6e:c5:e0:c0:e5:ea,5299,61,4,9,223,222,77,164,6653,64722,0,0,0,0,0,0,0,0,3
10.0.0.3,internet,0,3718,45,2,2,6e:c5:e0:c0:e5:ea,3718,45,1,3,227,226,77,167,6653,65060,0,0,0,0,0,0,0,0,4
10.0.0.4,internet,0,80,1,0,3,6e:c5:e0:c0:e5:ea,574,4,3,6,257,256,20,90,2796,11680,0,0,0,0,0,0,0,0,5
10.0.0.2,internet,0,81,1,0,2,6e:c5:e0:c0:e5:ea,81,1,1,4,790,789,10,93,790,11327,0,0,0,0,0,0,0,0,9
10.0.0.4,internet,0,11838,147,2,3,6e:c5:e0:c0:e5:ea,11838,147,1,3,785,784,262,375,23416,685319,0,0,0,0,0,0,0,0,9
10.0.0.2,internet,0,81,1,0,2,6e:c5:e0:c0:e5:ea,540,4,2,7,806,805,14,101,1323,12143,0,0,0,0,0,0,0,0,10
10.0.0.2,internet,0,81,1,1,2,6e:c5:e0:c0:e5:ea,1686,23,3,6,853,852,35,129,2667,16027,0,0,0,0,0,0,0,0,11
10.0.0.2,internet,0,1605,22,2,2,6e:c5:e0:c0:e5:ea,2284,25,3,7,873,872,44,145,3806,31943,0,0,0,0,0,0,0,0,12
10.0.0.2,internet,0,2250,21,1,2,6e:c5:e0:c0:e5:ea,3120,34,1,5,944,943,78,188,6377,60781,0,0,0,0,0,0,0,0,13
10.0.0.3,internet,0,85,1,0,2,6e:c5:e0:c0:e5:ea,427,3,3,5,802,801,85,193,7522,67831,0,0,0,0,0,0,0,0,13
10.0.0.2,internet,0,3636,42,2,2,6e:c5:e0:c0:e5:ea,3636,42,1,7,973,972,79,191,6431,60991,0,0,0,0,0,0,0,0,14
10.0.0.3,internet,0,85,1,1,2,6e:c5:e0:c0:e5:ea,427,3,3,5,804,803,87,196,7666,68041,0,0,0,0,0,0,0,0,14
10.0.0.2,internet,0,3690,43,3,2,6e:c5:e0:c0:e5:ea,3690,43,1,11,1030,1029,81,197,6543,61336,0,0,0,0,0,0,0,0,15
10.0.0.3,internet,0,85,1,2,2,6e:c5:e0:c0:e5:ea,1909,19,5,9,854,853,105,226,9318,71274,0,0,0,0,0,0,0,0,15
10.0.0.2,internet,0,3690,43,4,2,6e:c5:e0:c0:e5:ea,3690,43,1,10,1043,1042,81,197,6543,61336,0,0,0,0,0,0,0,0,16
10.0.0.3,internet,0,1095,13,2,2,6e:c5:e0:c0:e5:ea,2577,22,4,8,867,866,119,259,11086,83613,0,0,0,0,0,0,0,0,16
10.0.0.3,internet,0,17500,260,2,2,6e:c5:e0:c0:e5:ea,17500,260,1,3,1424,1423,409,580,29554,627364,0,0,0,0,0,0,0,0,17
10.0.0.3,internet,0,20236,304,3,2,6e:c5:e0:c0:e5:ea,20236,304,1,3,1512,1511,409,580,29554,627364,0,0,0,0,0,0,0,0,18
